 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

5160 atoms
4 atom types

0.000000   6.908563   xlo xhi 
0.000000   300.   ylo yhi 
0.000000   39.715602   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

3  15.999000
2  1.007940
4  14.006700
1  12.010700

Atoms # charge

127 1 0.0 16.673314 14.467520 35.907264 
128 2 0.0 13.130174 16.518409 34.691368 
129 1 0.0 15.289290 14.706521 37.943932 
130 1 0.0 16.549909 14.082975 37.349515 
131 2 0.0 14.064321 14.904445 39.739386 
132 1 0.0 15.005254 14.514488 39.332456 
133 1 0.0 17.429689 13.283172 38.182616 
134 2 0.0 18.331519 12.924593 37.669441 
135 1 0.0 15.909254 13.745413 40.122517 
136 1 0.0 17.084187 13.104902 39.536195 
137 3 0.0 15.420962 13.538687 41.397230 
138 2 0.0 17.744139 12.487185 40.174217 
139 2 0.0 15.451344 16.621414 2.623058 
140 1 0.0 16.235454 16.474849 3.321538 
141 1 0.0 17.625989 16.748267 2.970810 
142 2 0.0 18.395422 14.431652 7.816217 
143 2 0.0 14.896270 15.696431 4.798311 
144 2 0.0 14.829135 17.058594 7.125430 
145 1 0.0 15.953598 15.915972 4.572261 
146 1 0.0 18.656870 16.538045 3.996453 
147 2 0.0 19.675441 16.772936 3.790703 
148 1 0.0 16.920536 15.693995 5.663514 
149 1 0.0 17.813904 15.393114 7.976574 
150 1 0.0 18.310679 15.934517 5.226337 
151 2 0.0 18.528385 16.200434 7.832303 
152 1 0.0 15.868229 16.952525 7.442925 
153 2 0.0 17.538679 15.460249 9.076099 
154 2 0.0 19.135381 15.824148 5.940053 
155 1 0.0 16.522674 15.533624 7.074433 
156 2 0.0 15.879343 17.191931 8.549649 
157 2 0.0 16.394648 17.774793 6.968420 
158 1 0.0 15.476247 14.501893 7.390978 
159 2 0.0 15.741300 13.148575 5.642995 
160 2 0.0 14.957090 15.434158 9.410554 
161 1 0.0 15.151085 13.367917 6.513450 
162 1 0.0 14.775635 14.619719 8.668058 
163 1 0.0 14.176233 12.465659 6.906807 
164 1 0.0 13.845147 13.640696 9.069933 
165 2 0.0 14.008419 11.541008 6.383231 
166 2 0.0 13.481562 13.714861 10.086426 
167 1 0.0 13.483194 12.533186 8.229134 
168 3 0.0 12.501233 11.657543 8.540136 
169 2 0.0 11.656485 9.467096 9.912619 
170 1 0.0 11.772177 11.650271 9.681282 
171 1 0.0 11.168448 10.426598 10.170826 
172 2 0.0 11.480253 13.790445 9.943397 
173 1 0.0 11.055502 12.819405 10.138686 
174 1 0.0 10.024529 10.254943 11.042919 
175 2 0.0 9.694231 9.302221 11.367307 
176 1 0.0 9.896949 12.757539 10.977014 
177 1 0.0 9.328809 11.464146 11.414840 
178 1 0.0 9.175997 13.870708 11.787890 
179 3 0.0 9.559930 14.993355 11.817731 
180 1 0.0 7.997930 11.658842 12.232481 
181 4 0.0 7.954329 13.155004 12.550921 
182 3 0.0 7.115832 10.887479 12.436037 
183 2 0.0 5.348178 12.509787 13.660620 
184 1 0.0 7.089519 13.865914 13.549609 
185 1 0.0 5.790442 13.462701 14.071628 
186 2 0.0 8.467777 15.453275 13.738057 
187 1 0.0 7.543904 15.062372 14.160293 
188 1 0.0 5.196161 14.170821 15.159710 
189 2 0.0 4.257556 13.811360 15.606544 
190 1 0.0 6.989592 15.882190 15.204008 
191 1 0.0 5.765971 15.356316 15.722054 
192 3 0.0 9.911266 17.259045 14.338943 
193 4 0.0 7.679238 17.156949 15.570288 
194 2 0.0 5.234972 15.909145 16.489612 
195 1 0.0 9.198502 17.552623 15.239844 
196 3 0.0 6.516855 17.650932 17.625433 
197 1 0.0 7.463171 17.855963 16.900376 
198 1 0.0 9.753930 18.464451 16.319652 
199 1 0.0 8.657107 18.757007 17.300334 
200 2 0.0 11.886952 18.923187 15.821041 
201 1 0.0 11.047876 19.131793 16.502214 
202 1 0.0 8.842665 19.772850 18.301678 
203 2 0.0 8.015164 20.039798 18.975861 
204 1 0.0 11.241432 20.044680 17.555891 
205 1 0.0 10.128688 20.388965 18.475444 
206 2 0.0 12.206215 20.522620 17.679188 
207 2 0.0 10.845492 23.183262 21.041981 
208 3 0.0 10.295488 21.299476 19.447080 
209 1 0.0 11.484784 22.301099 21.184863 
210 1 0.0 11.327569 21.183655 20.308751 
211 2 0.0 12.590602 23.207764 22.863464 
212 2 0.0 15.511688 19.365896 22.665458 
213 2 0.0 15.860674 22.428213 24.129992 
214 1 0.0 12.450650 22.304147 22.236511 
215 1 0.0 12.115598 20.008422 20.507792 
216 2 0.0 12.008200 19.145213 19.826585 
217 1 0.0 15.109551 19.669377 23.672702 
218 1 0.0 13.261271 21.138784 22.446379 
219 1 0.0 15.254324 22.194176 23.262447 
220 2 0.0 15.967932 19.744881 24.383739 
221 1 0.0 13.009581 19.972165 21.621314 
222 2 0.0 16.076383 21.880456 22.642885 
223 2 0.0 14.484652 18.876205 24.037755 
224 2 0.0 14.779013 23.015685 22.740781 
225 1 0.0 14.255112 21.028727 23.553341 
226 2 0.0 13.662848 19.093335 21.779468 
227 1 0.0 13.531509 21.154057 24.871194 
228 2 0.0 11.577616 20.403052 24.114642 
229 2 0.0 15.388903 21.640468 25.991695 
230 1 0.0 12.132387 20.766138 24.992887 
231 1 0.0 14.275599 21.530802 26.098470 
232 1 0.0 11.480440 20.917125 26.242722 
233 1 0.0 13.594283 21.694442 27.310678 
234 2 0.0 10.420951 20.696045 26.404469 
235 2 0.0 14.150462 21.973796 28.247246 
236 1 0.0 12.150635 21.537189 27.368961 
237 3 0.0 11.480850 22.094239 28.418231 
238 2 0.0 11.470907 19.365518 28.826593 
239 1 0.0 11.077921 21.432296 29.521525 
240 1 0.0 11.137870 19.988675 29.626308 
241 2 0.0 10.316202 23.281618 30.528819 
242 1 0.0 10.538456 22.194480 30.629992 
243 1 0.0 10.899037 19.335684 30.856730 
244 2 0.0 10.992178 18.250530 30.983736 
245 1 0.0 10.322715 21.623867 31.913142 
246 1 0.0 10.509103 20.115552 32.008424 
247 1 0.0 10.091022 22.134243 33.327430 
248 3 0.0 9.752906 23.307038 33.469760 
249 1 0.0 10.573670 19.695228 33.477578 
250 4 0.0 10.433933 21.013878 34.296629 
251 3 0.0 10.933107 18.629123 33.935051 
252 1 0.0 10.756664 21.185381 35.809901 
253 2 0.0 12.666046 20.385883 35.567274 
254 2 0.0 8.800532 22.091263 36.280531 
255 1 0.0 11.936614 20.662966 36.385365 
256 1 0.0 9.743727 21.652192 36.712108 
257 1 0.0 12.211568 20.452064 37.752462 
258 1 0.0 9.903744 21.390299 38.099421 
259 2 0.0 9.141318 21.733257 38.847954 
260 3 0.0 13.329176 19.734123 40.702505 
261 1 0.0 11.099272 20.823608 38.603063 
262 4 0.0 13.536556 19.904641 38.237001 
263 1 0.0 13.908160 19.445693 39.674747 
264 3 0.0 14.521735 19.060527 36.140372 
265 1 0.0 14.578328 19.158357 37.332095 
266 2 0.0 11.198764 20.714245 39.692266 
267 1 0.0 15.216066 18.684395 39.609984 
268 1 0.0 15.615037 18.453794 38.193731 
269 2 0.0 15.778200 18.420471 41.711179 
270 1 0.0 16.060258 18.173657 40.691927 
271 1 0.0 16.809502 17.637083 37.966578 
272 2 0.0 17.169522 17.448631 36.972255 
273 1 0.0 17.153552 17.311670 40.478125 
274 1 0.0 17.524989 17.107921 39.082758 
275 3 0.0 18.055101 16.923320 41.455558 
276 2 0.0 18.401626 16.518534 38.817303 
277 2 0.0 17.247786 25.630443 2.391863 
278 1 0.0 17.043884 24.817917 3.049897 
279 1 0.0 17.448800 23.510885 2.634210 
280 2 0.0 17.150284 24.343510 7.431899 
281 2 0.0 16.211377 26.044153 4.621604 
282 2 0.0 15.291540 25.982462 7.133970 
283 1 0.0 16.437386 25.044816 4.328038 
284 1 0.0 17.233960 22.384947 3.530592 
285 2 0.0 17.509292 21.336233 3.298694 
286 1 0.0 16.038770 23.918866 5.142510 
287 1 0.0 16.260574 23.691543 7.541132 
288 1 0.0 16.490262 22.592739 4.712486 
289 2 0.0 15.778765 23.858101 8.517796 
290 1 0.0 14.514159 25.356093 6.626385 
291 2 0.0 16.539865 22.635125 7.622662 
292 2 0.0 16.293164 21.705057 5.332596 
293 1 0.0 15.216945 23.951410 6.398259 
294 2 0.0 14.071395 25.817590 5.732966 
295 2 0.0 13.676707 25.248124 7.361773 
296 1 0.0 14.084407 22.899644 6.481307 
297 2 0.0 13.986659 22.229461 4.436363 
298 2 0.0 13.849252 23.254299 8.675294 
299 1 0.0 13.599111 22.056876 5.415215 
300 1 0.0 13.507714 22.624037 7.814772 
301 1 0.0 12.611021 21.068984 5.621405 
302 1 0.0 12.601430 21.597186 8.054387 
303 2 0.0 12.304558 20.456065 4.761496 
304 2 0.0 12.277454 21.473290 9.051411 
305 1 0.0 12.035279 20.799147 6.925009 
306 3 0.0 10.874708 20.175150 7.139363 
307 2 0.0 12.681253 19.181840 9.002768 
308 1 0.0 10.640692 20.033885 8.481963 
309 1 0.0 11.662076 19.582371 9.409616 
310 2 0.0 8.581940 20.644965 8.347649 
311 1 0.0 9.378427 20.371506 9.022296 
312 1 0.0 11.557513 19.690759 10.811278 
313 2 0.0 12.345029 19.314727 11.457101 
314 1 0.0 9.260372 20.650288 10.454315 
315 1 0.0 10.337930 20.225242 11.414820 
316 1 0.0 8.093154 21.118116 11.301179 
317 3 0.0 7.076800 21.508990 10.800504 
318 1 0.0 9.840690 20.280651 12.845836 
319 4 0.0 8.342270 20.821917 12.815059 
320 3 0.0 10.575124 20.045723 13.762241 
321 2 0.0 6.025608 22.240277 12.614214 
322 1 0.0 7.728738 21.646995 13.873300 
323 1 0.0 6.601742 22.458945 13.527238 
324 2 0.0 9.295487 21.504092 15.386240 
325 1 0.0 8.362004 21.987358 15.142900 
326 1 0.0 5.915765 23.281419 14.468599 
327 2 0.0 4.990385 23.734879 14.274703 
328 1 0.0 7.820282 22.895899 16.081892 
329 1 0.0 6.575620 23.469109 15.715906 
330 3 0.0 10.345130 24.724137 16.507688 
331 4 0.0 8.432803 23.391104 17.409372 
332 2 0.0 6.091037 24.145377 16.470039 
333 1 0.0 9.725579 24.293260 17.439532 
334 3 0.0 6.497570 23.637191 18.825225 
335 1 0.0 7.629943 23.910276 18.581512 
336 1 0.0 9.832564 24.946327 18.809170 
337 1 0.0 8.503157 24.764661 19.508117 
338 2 0.0 11.676296 26.064533 18.943627 
339 1 0.0 10.767607 25.812510 19.470909 
340 1 0.0 8.236518 25.454177 20.744672 
341 2 0.0 7.238860 25.373932 21.193467 
342 1 0.0 10.491307 26.427913 20.710282 
343 1 0.0 9.251696 26.170426 21.423290 
344 2 0.0 11.205372 27.124244 21.110311 
345 2 0.0 9.247278 28.775476 21.740678 
346 3 0.0 9.185911 26.387053 22.714044 
347 1 0.0 9.927509 28.631031 22.552901 
348 1 0.0 10.068178 27.342843 23.173857 
349 2 0.0 10.660998 30.664714 22.397222 
350 2 0.0 14.062600 29.749511 25.920822 
351 2 0.0 12.915244 31.519088 22.555389 
352 1 0.0 10.794243 29.693074 22.911234 
353 1 0.0 11.096095 27.093728 24.133032 
354 2 0.0 11.178984 26.111889 24.610001 
355 1 0.0 13.983257 30.281604 24.957172 
356 1 0.0 11.760098 29.537945 24.007045 
357 1 0.0 12.504753 31.828797 23.507227 
358 2 0.0 14.480427 29.628921 24.208971 
359 1 0.0 11.887093 28.202516 24.535028 
360 2 0.0 11.522810 32.234538 23.206596 
361 2 0.0 14.680634 31.161531 25.011755 
362 2 0.0 13.068826 32.710202 23.866574 
363 1 0.0 12.469634 30.713720 24.636975 
364 2 0.0 12.596376 28.006029 25.379947 
365 1 0.0 11.794346 31.301030 25.819615 
366 2 0.0 9.960934 30.063830 25.592813 
367 2 0.0 13.423748 32.740508 26.284073 
368 1 0.0 10.481681 30.824831 26.154877 
369 1 0.0 12.464695 32.295420 26.663333 
370 1 0.0 9.847654 31.285267 27.347533 
371 1 0.0 11.883716 32.700446 27.844371 
372 2 0.0 8.848676 30.950400 27.650675 
373 2 0.0 12.313482 33.453795 28.479856 
374 1 0.0 10.592259 32.120200 28.250192 
375 3 0.0 10.014388 32.253109 29.461497 
376 2 0.0 12.078460 30.546331 29.155591 
377 1 0.0 10.726148 31.754818 30.475187 
378 1 0.0 11.866803 30.861895 30.212861 
379 2 0.0 9.513493 32.811319 31.973533 
380 1 0.0 10.358415 32.153165 31.816988 
381 1 0.0 12.623637 30.341541 31.261165 
382 2 0.0 13.459430 29.654320 31.053258 
383 1 0.0 11.044901 31.539240 32.902909 
384 1 0.0 12.297981 30.682305 32.647933 
385 1 0.0 10.837823 31.696956 34.387122 
386 3 0.0 9.986308 32.385031 34.892818 
387 1 0.0 12.826765 30.175460 33.932363 
388 4 0.0 12.008776 30.752611 35.083894 
389 3 0.0 13.567909 29.227262 34.069346 
390 1 0.0 11.932767 29.977480 36.326148 
391 2 0.0 13.659634 28.622044 36.021671 
392 2 0.0 10.144286 31.043890 37.106653 
393 1 0.0 12.828888 28.869814 36.703825 
394 1 0.0 10.896765 30.277244 37.277806 
395 1 0.0 12.900664 28.269758 37.985086 
396 1 0.0 10.842563 29.558803 38.493762 
397 2 0.0 9.996508 29.762691 39.265194 
398 3 0.0 13.386078 26.620244 40.679790 
399 1 0.0 11.779404 28.537414 38.843611 
400 4 0.0 14.107434 27.610277 38.506398 
401 1 0.0 14.069097 26.637169 39.709582 
402 3 0.0 16.025191 27.819560 36.752236 
403 1 0.0 15.476485 27.277476 37.666779 
404 2 0.0 11.671489 27.955611 39.767373 
405 1 0.0 15.275272 25.708601 39.563150 
406 1 0.0 16.104159 26.103079 38.349475 
407 2 0.0 15.140806 24.439210 41.439302 
408 1 0.0 15.699389 24.707538 40.508768 
409 1 0.0 17.268715 25.339692 38.018967 
410 2 0.0 17.797157 25.580362 37.113439 
411 1 0.0 16.908348 23.985231 40.176646 
412 1 0.0 17.554167 24.252774 38.896707 
413 3 0.0 17.580417 23.179626 41.038080 
414 2 0.0 18.433735 23.656449 38.572389 
415 2 0.0 13.952866 33.640162 1.495211 
416 1 0.0 14.096858 32.944106 2.305899 
417 1 0.0 14.616344 31.592735 2.079959 
418 2 0.0 15.195630 33.993236 6.607590 
419 2 0.0 13.409229 34.435165 3.780913 
420 2 0.0 11.703791 34.196308 6.876477 
421 1 0.0 13.798066 33.408449 3.601208 
422 1 0.0 15.055381 30.770771 3.203482 
423 2 0.0 15.564047 29.797871 3.072914 
424 1 0.0 13.967322 32.469529 4.717458 
425 1 0.0 14.516691 33.187979 7.058636 
426 1 0.0 14.669631 31.203624 4.482703 
427 2 0.0 14.143081 33.565090 8.061126 
428 1 0.0 12.303628 34.002000 5.919728 
429 2 0.0 15.141783 32.320015 7.229820 
430 2 0.0 14.757346 30.593490 5.362879 
431 1 0.0 13.321823 32.785883 6.070467 
432 2 0.0 12.802301 34.943720 5.649772 
433 2 0.0 11.558267 33.749464 5.171534 
434 1 0.0 12.587904 31.622502 6.568492 
435 2 0.0 11.988026 31.021472 4.521377 
436 2 0.0 12.956876 31.844786 8.799741 
437 1 0.0 11.865802 30.830017 5.568404 
438 1 0.0 12.454182 31.256776 7.983919 
439 1 0.0 11.061015 29.765996 5.983808 
440 1 0.0 11.701400 30.168253 8.396942 
441 2 0.0 10.600591 29.136563 5.264371 
442 2 0.0 11.579979 29.962480 9.483940 
443 1 0.0 10.934704 29.391234 7.393046 
444 3 0.0 9.931699 28.547831 7.591656 
445 2 0.0 11.788353 27.193137 9.056417 
446 1 0.0 9.737167 27.932419 8.796687 
447 1 0.0 10.813660 27.243948 9.498306 
448 2 0.0 7.616637 28.423280 8.665103 
449 1 0.0 8.417302 28.006297 9.290374 
450 1 0.0 10.564199 26.680865 10.762367 
451 2 0.0 11.374400 26.191760 11.337225 
452 1 0.0 8.120577 27.502990 10.596311 
453 1 0.0 9.240196 26.777441 11.328953 
454 1 0.0 6.973358 27.551876 11.585422 
455 3 0.0 6.114090 28.402261 11.547337 
456 1 0.0 8.744441 26.310579 12.693947 
457 4 0.0 7.219033 26.670745 12.798022 
458 3 0.0 9.400466 25.647911 13.438829 
459 2 0.0 4.651080 27.269943 13.349020 
460 1 0.0 6.610866 27.007914 14.170896 
461 1 0.0 5.239243 27.328240 14.253318 
462 2 0.0 8.398672 26.988038 15.300242 
463 1 0.0 7.323005 27.234104 15.387040 
464 1 0.0 4.639045 27.806819 15.472486 
465 2 0.0 3.603102 28.022534 15.486935 
466 1 0.0 6.843904 27.767842 16.622189 
467 1 0.0 5.452095 28.015014 16.625611 
468 3 0.0 8.896383 30.130284 16.183042 
469 4 0.0 7.662331 28.495289 17.704327 
470 2 0.0 4.927092 28.362112 17.536430 
471 1 0.0 8.462048 29.776903 17.230405 
472 3 0.0 5.955391 28.387581 19.481703 
473 1 0.0 6.946027 28.877359 18.990888 
474 1 0.0 8.334469 30.810613 18.371796 
475 1 0.0 7.544404 30.222488 19.488138 
476 2 0.0 9.531042 32.487070 17.566860 
477 1 0.0 8.976319 32.076327 18.405410 
478 1 0.0 7.639095 30.929794 20.730601 
479 2 0.0 7.092095 30.509377 21.581952 
480 1 0.0 8.918348 32.757325 19.675369 
481 1 0.0 8.310744 32.192719 20.846957 
482 2 0.0 9.439993 33.712396 19.730122 
483 2 0.0 7.132084 34.423865 20.478464 
484 3 0.0 8.479559 32.704101 22.117080 
485 1 0.0 7.206825 34.750457 21.519351 
486 1 0.0 7.981798 33.889321 22.415006 
487 2 0.0 6.041778 36.579022 21.243058 
488 2 0.0 7.550108 38.913404 22.427965 
489 2 0.0 4.180857 37.344767 22.528402 
490 1 0.0 6.575248 35.926977 21.975222 
491 1 0.0 8.057851 34.360345 23.799431 
492 2 0.0 8.641352 33.796683 24.501529 
493 1 0.0 7.119934 38.888242 23.486421 
494 1 0.0 6.673393 36.373196 23.338726 
495 1 0.0 4.899364 38.149957 22.780818 
496 2 0.0 6.690596 39.916690 23.697881 
497 1 0.0 7.409834 35.531568 24.238322 
498 2 0.0 4.262661 38.884347 23.265998 
499 2 0.0 8.018648 38.780758 24.110578 
500 2 0.0 5.275505 38.556150 21.801966 
501 1 0.0 6.090836 37.711748 23.692316 
502 2 0.0 7.515225 35.940825 25.219555 
503 1 0.0 5.663971 37.675783 25.166795 
504 2 0.0 4.053652 36.140070 24.887627 
505 2 0.0 7.100622 39.152536 25.916811 
506 1 0.0 4.597320 36.766477 25.598942 
507 1 0.0 6.321489 38.481872 26.195163 
508 1 0.0 4.208649 36.677023 26.951287 
509 1 0.0 5.944154 38.337127 27.581079 
510 2 0.0 3.360804 36.008561 27.245736 
511 2 0.0 6.538705 38.892575 28.335778 
512 1 0.0 4.927882 37.441385 27.958833 
513 3 0.0 4.435214 37.264620 29.197197 
514 2 0.0 6.915083 36.484046 28.864700 
515 1 0.0 5.302359 37.053284 30.219727 
516 1 0.0 6.694871 36.698812 29.920250 
517 2 0.0 3.815151 37.445156 31.740671 
518 1 0.0 4.837966 37.212218 31.547142 
519 1 0.0 7.656334 36.504635 30.913177 
520 2 0.0 8.637682 36.193276 30.642694 
521 1 0.0 5.791151 37.038530 32.629923 
522 1 0.0 7.239008 36.713672 32.294148 
523 1 0.0 5.717700 37.284373 34.111751 
524 3 0.0 4.917374 37.997184 34.609835 
525 1 0.0 8.068992 36.763319 33.563287 
526 4 0.0 7.151205 36.999228 34.764154 
527 3 0.0 9.246779 36.524298 33.651797 
528 1 0.0 7.464201 36.668541 36.196337 
529 2 0.0 9.298064 35.614226 35.802347 
530 2 0.0 5.672915 37.621494 37.056517 
531 1 0.0 8.630543 35.951370 36.613652 
532 1 0.0 6.594049 37.054288 37.274814 
