&	P0	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19
1670	0.14659	0.14683	0.1482	0.13927	0.13729	0.14367	0.14775	0.12577	0.12839	0.12621	0.1135	0.13132	0.13946	0.14952	0.15422	0.14137	0.14757	0.15172	0.15001	0.13181
1669	0.14181	0.14301	0.13242	0.13533	0.13648	0.12316	0.11753	0.11924	0.11209	0.11275	0.11559	0.1176	0.12109	0.12327	0.12741	0.13652	0.13859	0.13043	0.12922	0.13548
1668	0.13827	0.14415	0.14357	0.14825	0.13218	0.13164	0.13625	0.12398	0.1145	0.12756	0.11131	0.11367	0.12065	0.12931	0.127	0.1235	0.12974	0.1353	0.1361	0.13786
1667	0.14063	0.14788	0.14806	0.15581	0.14631	0.14093	0.12866	0.12831	0.11833	0.11814	0.12285	0.12418	0.12878	0.13053	0.1346	0.1352	0.14118	0.14162	0.14677	0.13401
1666	0.13848	0.14771	0.14421	0.13901	0.13941	0.14261	0.13796	0.13369	0.12842	0.12815	0.12182	0.11323	0.13551	0.13791	0.12912	0.13693	0.14565	0.13697	0.1435	0.14197
1665	0.15119	0.15671	0.15322	0.14924	0.14291	0.14272	0.14617	0.13156	0.12382	0.13197	0.12908	0.13076	0.12594	0.14129	0.1375	0.13179	0.14279	0.14914	0.14331	0.13874
1664	0.14207	0.1461	0.15612	0.16397	0.15403	0.15223	0.15051	0.14811	0.12904	0.14095	0.13326	0.13212	0.13834	0.15167	0.12926	0.1474	0.15385	0.15213	0.15622	0.1494
1663	0.14529	0.15552	0.14145	0.15582	0.16108	0.15158	0.14762	0.12546	0.11862	0.13071	0.12222	0.1421	0.12815	0.13374	0.14568	0.14544	0.15625	0.14243	0.14616	0.13358
1662	0.15471	0.15205	0.14831	0.15609	0.14678	0.14518	0.15086	0.13207	0.12845	0.14295	0.13259	0.13169	0.12303	0.14796	0.14725	0.15091	0.14635	0.13969	0.14764	0.15134
1661	0.15089	0.16678	0.15799	0.15897	0.15161	0.16028	0.14331	0.13754	0.13422	0.14555	0.12373	0.13199	0.14022	0.1502	0.14849	0.14458	0.16072	0.15622	0.15408	0.16144
1660	0.15963	0.1676	0.15229	0.17224	0.1508	0.14854	0.14745	0.12659	0.13162	0.12956	0.13872	0.13412	0.14417	0.13424	0.14583	0.15748	0.15258	0.1456	0.15856	0.14899
1659	0.15376	0.17033	0.16473	0.17617	0.15727	0.15459	0.14121	0.13742	0.13965	0.13429	0.13048	0.14004	0.13216	0.14423	0.15349	0.15688	0.14698	0.15124	0.15282	0.15475
1658	0.17118	0.15987	0.16958	0.16048	0.15726	0.15031	0.1539	0.13939	0.13566	0.1479	0.13325	0.14705	0.1341	0.15266	0.15424	0.14908	0.16911	0.15589	0.16707	0.16889
1657	0.16891	0.17382	0.15709	0.16655	0.16806	0.15216	0.147	0.14634	0.15211	0.1428	0.13689	0.14774	0.14018	0.14787	0.15415	0.1507	0.15261	0.15963	0.15941	0.17586
1656	0.17719	0.16921	0.1755	0.17028	0.17358	0.16411	0.16604	0.14907	0.13194	0.15122	0.14184	0.15131	0.13719	0.15435	0.15718	0.1574	0.15865	0.17445	0.17458	0.16377
1655	0.18407	0.17576	0.18998	0.18743	0.18844	0.16784	0.17077	0.15455	0.15209	0.15179	0.15967	0.1651	0.15371	0.18204	0.17236	0.18228	0.17347	0.18187	0.18126	0.17872
1654	0.1811275	0.181215	0.18615	0.1829025	0.1835575	0.1667525	0.16994	0.155435	0.150505	0.153155	0.157275	0.16181	0.1512725	0.1770025	0.1690575	0.1761475	0.1759	0.174835	0.17799	0.1745925
1653	0.178185	0.18667	0.18232	0.178375	0.178675	0.165665	0.16911	0.15632	0.14892	0.15452	0.15488	0.15852	0.148835	0.171965	0.165755	0.170015	0.17833	0.1678	0.17472	0.170465
1652	0.1723	0.19758	0.17466	0.16932	0.16891	0.16349	0.16745	0.15809	0.14575	0.15725	0.15009	0.15194	0.14396	0.16189	0.15915	0.15775	0.18319	0.15373	0.16818	0.16221
1651	0.1639	0.18476	0.17397	0.1751	0.15818	0.16047	0.15715	0.14934	0.1389	0.14512	0.14704	0.14032	0.14038	0.16165	0.15108	0.16149	0.15578	0.16451	0.17165	0.16875
1650	0.16065	0.16556	0.17841	0.17085	0.15964	0.16136	0.14953	0.14252	0.14432	0.14799	0.13273	0.14458	0.14589	0.15637	0.15202	0.15299	0.16521	0.16563	0.15416	0.16118
1649	0.16471	0.19118	0.16736	0.16983	0.1698	0.16732	0.15667	0.14576	0.1538	0.14191	0.13704	0.13641	0.1383	0.15221	0.1523	0.15539	0.16262	0.16661	0.16527	0.15902
1648	0.16082	0.15519	0.16006	0.1762	0.18001	0.16161	0.14682	0.1484	0.14696	0.1388	0.13719	0.13909	0.14648	0.1601	0.14921	0.16133	0.16276	0.158	0.1727	0.16563
1647	0.17177	0.1771	0.17078	0.16646	0.16558	0.15844	0.1417	0.15362	0.13123	0.15846	0.1329	0.14817	0.14521	0.14565	0.16789	0.16762	0.14611	0.16109	0.15605	0.15995
1646	0.15214	0.1659	0.13626	0.13902	0.1502	0.1499	0.13052	0.13061	0.11984	0.12461	0.1394	0.12937	0.12399	0.13777	0.14695	0.15264	0.138	0.14669	0.14476	0.14438
1645	0.13898	0.1525	0.14439	0.14862	0.13489	0.13176	0.12742	0.12773	0.11891	0.11802	0.11455	0.12278	0.1225	0.12707	0.13066	0.13205	0.14094	0.14061	0.13612	0.13302
1644	0.13791	0.14072	0.13509	0.15084	0.13099	0.1347	0.12399	0.1152	0.11429	0.11803	0.10575	0.10099	0.11729	0.12572	0.1446	0.12933	0.13334	0.13754	0.1357	0.13288
1643	0.13952	0.13836	0.12416	0.14044	0.13165	0.12886	0.1192	0.11173	0.12443	0.11804	0.1161	0.11346	0.10833	0.122	0.12594	0.12544	0.12237	0.12796	0.12997	0.11873
1642	0.12671	0.13754	0.12201	0.12563	0.13225	0.12277	0.11792	0.10447	0.11057	0.11676	0.10591	0.09923	0.11438	0.11633	0.11468	0.11198	0.12612	0.11647	0.12208	0.12097
1641	0.11754	0.13297	0.11588	0.11605	0.11807	0.12856	0.10796	0.11478	0.09926	0.11778	0.1041	0.11501	0.10134	0.11458	0.12161	0.12637	0.12	0.11937	0.11151	0.11977
1640	0.11463	0.12837	0.12315	0.12218	0.12921	0.11931	0.11336	0.1091	0.10508	0.10992	0.09673	0.10075	0.10752	0.1111	0.10431	0.12457	0.11172	0.11506	0.12194	0.12073
1639	0.1164	0.12392	0.13077	0.1123	0.11913	0.11717	0.11314	0.10113	0.10288	0.10529	0.10209	0.10297	0.08837	0.10918	0.10849	0.11996	0.12104	0.11017	0.1044	0.11159
1638	0.10897	0.12543	0.11841	0.11922	0.11394	0.11942	0.1109	0.09851	0.10322	0.09543	0.09292	0.10281	0.09327	0.09424	0.10365	0.12187	0.12662	0.11386	0.11912	0.11988
1637	0.10142	0.119	0.11614	0.12041	0.12287	0.12044	0.10425	0.1006	0.10233	0.1009	0.09759	0.09309	0.09965	0.11295	0.09828	0.10288	0.09318	0.10917	0.11855	0.12056
1636	0.103785	0.115195	0.109915	0.11758	0.120445	0.11522	0.098295	0.09735	0.10171	0.098165	0.0968	0.09359	0.09726	0.10855	0.09801	0.110205	0.10636	0.107725	0.112815	0.10735
1635	0.10615	0.11139	0.10369	0.11475	0.11802	0.11	0.09234	0.0941	0.10109	0.09543	0.09601	0.09409	0.09487	0.10415	0.09774	0.11753	0.11954	0.10628	0.10708	0.09414
1634	0.09719	0.10387	0.09646	0.10188	0.10292	0.09626	0.09514	0.09755	0.08558	0.08563	0.08757	0.08733	0.09121	0.10247	0.09953	0.10364	0.10078	0.10022	0.11057	0.11374
1633	0.08876	0.09719	0.094	0.09746	0.09236	0.09689	0.10937	0.09633	0.08841	0.09485	0.0847	0.0993	0.08477	0.10927	0.08992	0.10184	0.11164	0.10912	0.09484	0.10463
1632	0.09864	0.10046	0.10988	0.0849	0.09121	0.0992	0.08698	0.08693	0.08816	0.09689	0.08635	0.088	0.09651	0.10216	0.08853	0.096	0.10133	0.08823	0.09531	0.09142
1631	0.10061	0.1013	0.10188	0.10456	0.10138	0.10126	0.08938	0.08794	0.08818	0.08363	0.09144	0.09981	0.09271	0.08463	0.09561	0.09572	0.09271	0.08413	0.09528	0.1054
