&	P0	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19
1569	0.14067	0.139	0.14753	0.14152	0.14156	0.14286	0.1227	0.14022	0.12087	0.12921	0.11537	0.12581	0.13227	0.13321	0.13502	0.12005	0.13445	0.15539	0.14872	0.1458
1568	0.15405	0.16212	0.13863	0.15028	0.13792	0.1433	0.13506	0.12347	0.12957	0.11848	0.12344	0.13901	0.12747	0.1409	0.12952	0.13156	0.15241	0.14116	0.13957	0.14031
1567	0.16388	0.16585	0.15659	0.15179	0.14616	0.14666	0.14009	0.13951	0.13023	0.1354	0.12051	0.13497	0.13197	0.14342	0.14151	0.14235	0.14359	0.13964	0.14989	0.14821
1566	0.16671	0.1744	0.15929	0.17069	0.15448	0.16057	0.15035	0.13859	0.14638	0.13962	0.14179	0.13659	0.13684	0.15241	0.1507	0.15932	0.15458	0.15626	0.15652	0.16281
1565	0.17718	0.19101	0.17171	0.18359	0.18029	0.16551	0.16631	0.155	0.1528	0.16318	0.14863	0.15494	0.16509	0.16281	0.16428	0.16772	0.18647	0.18369	0.16447	0.17639
1564	0.18229	0.19778	0.18474	0.18377	0.17216	0.16915	0.16972	0.17846	0.15493	0.15922	0.15499	0.16079	0.16083	0.16873	0.17226	0.16397	0.17292	0.17631	0.17775	0.17896
1563	0.19424	0.21056	0.19121	0.19955	0.19654	0.18218	0.17755	0.17799	0.16909	0.16892	0.17596	0.16376	0.16617	0.17835	0.18445	0.18878	0.19362	0.19183	0.18889	0.1858
1562	0.21098	0.21013	0.20847	0.19614	0.20777	0.20251	0.19224	0.16876	0.1787	0.17892	0.16451	0.17555	0.18357	0.18742	0.19046	0.20373	0.19771	0.21314	0.19219	0.19718
1561	0.23014	0.24262	0.22809	0.23146	0.22707	0.23534	0.22225	0.20631	0.18728	0.20775	0.21393	0.21629	0.20381	0.22883	0.20529	0.25233	0.23169	0.21852	0.23008	0.24719
1560	0.23561	0.24231	0.244	0.25342	0.21058	0.22322	0.23781	0.20497	0.2118	0.20033	0.19778	0.20812	0.20606	0.22943	0.23911	0.26345	0.23375	0.24953	0.22857	0.2651
1559	0.2474	0.26249	0.2549	0.24892	0.2787	0.26817	0.25103	0.2443	0.23821	0.23047	0.20777	0.22286	0.23631	0.24906	0.27598	0.26787	0.29766	0.26567	0.26723	0.28304
1558	0.23783	0.27492	0.25524	0.25907	0.2456	0.23951	0.23912	0.20624	0.21746	0.21223	0.19462	0.21471	0.23227	0.2407	0.22522	0.26252	0.2646	0.26321	0.2382	0.25137
1557	0.26295	0.26435	0.23776	0.25602	0.25016	0.25184	0.22759	0.21545	0.1992	0.20489	0.1997	0.20773	0.21044	0.22516	0.22694	0.24337	0.23318	0.23672	0.24041	0.24595
1556	0.25263	0.26517	0.26079	0.26486	0.25126	0.2522	0.23206	0.21298	0.21959	0.22461	0.20427	0.20906	0.21111	0.23169	0.22308	0.23817	0.25357	0.25164	0.2559	0.25774
1555	0.27066	0.27269	0.28725	0.27568	0.27081	0.26144	0.25419	0.23954	0.24449	0.23315	0.22906	0.2319	0.24929	0.23208	0.26068	0.27214	0.26498	0.26943	0.28276	0.27565
1554	0.25837	0.24564	0.2363	0.24729	0.24461	0.23842	0.23909	0.2263	0.2203	0.20894	0.19963	0.21525	0.22247	0.23991	0.23193	0.24501	0.24088	0.24744	0.2408	0.25246
1553	0.24993	0.26495	0.23813	0.26257	0.24579	0.23813	0.22813	0.21624	0.218	0.21436	0.20452	0.21438	0.20587	0.22749	0.22802	0.2366	0.24553	0.24212	0.24668	0.24784
1552	0.24985	0.26602	0.2565	0.26118	0.24935	0.2331	0.23475	0.21839	0.21137	0.21454	0.19997	0.20417	0.22089	0.22227	0.22319	0.23299	0.24289	0.2419	0.23991	0.24763
1551	0.26184	0.24387	0.26249	0.25887	0.23154	0.23651	0.21256	0.22659	0.22652	0.20383	0.19871	0.22853	0.21338	0.23984	0.23582	0.23681	0.25344	0.24499	0.24327	0.24074
1550	0.25069	0.25093	0.23505	0.24755	0.22877	0.24192	0.23248	0.21457	0.20294	0.21234	0.18998	0.20241	0.20473	0.23382	0.21534	0.23327	0.24815	0.24082	0.25106	0.23611
1549	0.2416	0.26583	0.24148	0.23778	0.23319	0.23081	0.21783	0.21142	0.19883	0.20901	0.19848	0.21891	0.20638	0.22016	0.23494	0.23935	0.25143	0.24118	0.23489	0.23662
1548	0.24172	0.24481	0.24562	0.25053	0.25407	0.22794	0.21871	0.20469	0.20442	0.20322	0.19536	0.20876	0.20466	0.21559	0.22097	0.23461	0.23012	0.23398	0.23564	0.24693
1547	0.25065	0.2488	0.23579	0.24264	0.24413	0.24679	0.2158	0.21164	0.20928	0.19573	0.20271	0.19612	0.19563	0.21445	0.22295	0.22618	0.2362	0.23905	0.2272	0.23662
1546	0.25867	0.2619	0.26559	0.25927	0.24465	0.24663	0.24384	0.219	0.21026	0.21887	0.20113	0.2317	0.22461	0.25063	0.22679	0.23572	0.24783	0.26917	0.25716	0.26506
1545	0.24396	0.24791	0.23071	0.25051	0.23676	0.22295	0.21764	0.209	0.20053	0.21137	0.21224	0.20277	0.19618	0.2183	0.22997	0.22148	0.24524	0.24709	0.22898	0.23989
1544	0.24399	0.24379	0.23695	0.24002	0.21874	0.2381	0.22434	0.20266	0.20169	0.2102	0.19984	0.1988	0.2142	0.23322	0.22739	0.23149	0.25685	0.24101	0.23224	0.23873
1543	0.26265	0.24915	0.2518	0.25765	0.25794	0.25485	0.23742	0.2369	0.22666	0.21936	0.21	0.21031	0.21476	0.23423	0.24469	0.25771	0.24985	0.24162	0.25156	0.26255
1542	0.23774	0.23067	0.24883	0.23962	0.24298	0.24261	0.22646	0.2088	0.21536	0.19592	0.18333	0.2111	0.21628	0.21583	0.22781	0.25099	0.24234	0.23407	0.22592	0.24602
1541	0.25935	0.25737	0.25059	0.2508	0.25776	0.24851	0.23582	0.21727	0.22054	0.23246	0.20881	0.23398	0.2164	0.23572	0.238	0.25138	0.24973	0.24339	0.2699	0.26088
1540	0.25357	0.26218	0.25407	0.26222	0.25352	0.26301	0.24062	0.2271	0.22193	0.22919	0.22367	0.24502	0.24045	0.24721	0.25659	0.27749	0.24809	0.26107	0.25862	0.2767
1539	0.21837	0.24155	0.26942	0.24807	0.23108	0.21928	0.22623	0.20413	0.19136	0.21704	0.19611	0.2109	0.20705	0.2382	0.22774	0.23649	0.23888	0.24037	0.25942	0.2514
1538	0.23762	0.24045	0.23638	0.23227	0.23304	0.23743	0.21747	0.20514	0.19984	0.19401	0.18523	0.20189	0.19526	0.21786	0.2328	0.22658	0.22185	0.2305	0.23476	0.23464
1537	0.24506	0.2479	0.2368	0.2426	0.21981	0.22329	0.22087	0.21414	0.20727	0.19542	0.19625	0.20218	0.2036	0.21586	0.20673	0.23174	0.23333	0.21999	0.24007	0.23047
1536	0.24024	0.25383	0.23656	0.24155	0.23658	0.21445	0.21393	0.20886	0.19532	0.20168	0.18578	0.19824	0.19179	0.20735	0.21413	0.22979	0.22074	0.22948	0.23873	0.22489
1535	0.24576	0.24383	0.22845	0.24646	0.22922	0.22462	0.22176	0.21645	0.20559	0.20451	0.18828	0.19911	0.20848	0.21634	0.22369	0.21422	0.24058	0.23447	0.23328	0.24291
1534	0.25605	0.2487	0.24694	0.24446	0.24759	0.21952	0.21529	0.20629	0.20119	0.205	0.19197	0.18218	0.21315	0.22346	0.21551	0.22207	0.2342	0.23878	0.24086	0.24039
1533	0.21734	0.22633	0.2308	0.23147	0.2287	0.21713	0.20873	0.19159	0.18098	0.19598	0.17769	0.17861	0.19002	0.21772	0.21482	0.21272	0.23686	0.22049	0.22162	0.21841
1532	0.21866	0.224	0.2203	0.22331	0.21758	0.21467	0.20561	0.19355	0.18732	0.19011	0.19238	0.19029	0.18771	0.20495	0.19688	0.21822	0.2273	0.22432	0.20957	0.21428
1531	0.2212	0.21904	0.20536	0.22363	0.20642	0.2018	0.20004	0.17961	0.1795	0.18929	0.18155	0.17404	0.18291	0.19434	0.20028	0.21843	0.2209	0.21367	0.2052	0.21551
1530	0.22143	0.2285	0.20455	0.22394	0.20699	0.20395	0.18935	0.17765	0.17841	0.16515	0.16407	0.18297	0.17407	0.20523	0.19353	0.20118	0.20257	0.21265	0.20032	0.21827
1529	0.21166	0.21106	0.20207	0.20824	0.20551	0.20974	0.20098	0.18499	0.18493	0.19279	0.18409	0.17725	0.17808	0.19673	0.19235	0.19175	0.207	0.20659	0.2116	0.22309
1528	0.20827	0.20998	0.20298	0.20194	0.20002	0.20139	0.185	0.17371	0.17689	0.16593	0.17259	0.18259	0.16912	0.19114	0.19474	0.19482	0.19749	0.20775	0.21084	0.20421
1527	0.19807	0.21071	0.1847	0.20146	0.20734	0.19172	0.19308	0.17273	0.17489	0.18654	0.15632	0.16595	0.16795	0.19346	0.18101	0.18995	0.2019	0.19814	0.18583	0.201
1526	0.2127	0.2211	0.22116	0.22076	0.19795	0.1953	0.19798	0.18658	0.17194	0.17291	0.16581	0.17711	0.18254	0.21095	0.19123	0.20176	0.1955	0.20794	0.20093	0.21641
1525	0.199	0.20198	0.19873	0.20818	0.20455	0.18977	0.18211	0.16947	0.17726	0.17145	0.16216	0.15529	0.16218	0.18565	0.18245	0.19044	0.20911	0.18704	0.20082	0.1938
1524	0.19745	0.20343	0.2042	0.19984	0.19468	0.1886	0.18293	0.16876	0.17357	0.176	0.16894	0.17291	0.17543	0.18776	0.18351	0.19601	0.1971	0.19315	0.19986	0.20709
1523	0.21531	0.22096	0.20972	0.21311	0.21889	0.21284	0.20582	0.19009	0.18706	0.17971	0.18396	0.19109	0.18241	0.20044	0.20152	0.20977	0.20473	0.21274	0.2185	0.21471
1522	0.20711	0.21724	0.21751	0.22663	0.20955	0.21181	0.17972	0.18195	0.17763	0.18622	0.17655	0.19229	0.19561	0.20597	0.19467	0.20696	0.21088	0.21733	0.20517	0.20809
1521	0.20953	0.20434	0.20228	0.20007	0.19565	0.19436	0.16911	0.17852	0.18355	0.18297	0.15511	0.18052	0.1675	0.19079	0.19706	0.18619	0.20788	0.20614	0.2053	0.1991
1520	0.18368	0.19174	0.18674	0.20531	0.20219	0.18353	0.18488	0.16768	0.16112	0.15911	0.15736	0.17518	0.16664	0.17888	0.18628	0.18677	0.19651	0.18051	0.17791	0.17925
1519	0.19906	0.20547	0.19722	0.20429	0.1938	0.1801	0.16757	0.17539	0.16768	0.17812	0.15698	0.16521	0.1662	0.19223	0.18285	0.18791	0.18658	0.18629	0.18888	0.18596
1518	0.19448	0.20718	0.19336	0.19134	0.19241	0.20509	0.18497	0.18155	0.16572	0.19102	0.17152	0.15614	0.17283	0.17974	0.18627	0.18675	0.21516	0.20308	0.19235	0.19486
1517	0.19407	0.20042	0.19335	0.197	0.20227	0.18467	0.18925	0.17568	0.17964	0.18019	0.15947	0.17101	0.18137	0.19417	0.18334	0.19353	0.20087	0.21412	0.19423	0.19916
1516	0.1903	0.21405	0.18775	0.20431	0.19545	0.18865	0.17752	0.17098	0.16273	0.17834	0.16273	0.17431	0.16281	0.1877	0.18212	0.19303	0.19904	0.18557	0.19383	0.19162
1515	0.20913	0.19746	0.20065	0.20563	0.19952	0.19828	0.1919	0.17816	0.1764	0.18273	0.17259	0.17349	0.18417	0.17307	0.19147	0.20821	0.20787	0.20376	0.19807	0.2025
1514	0.21669	0.21233	0.22233	0.21646	0.21405	0.20777	0.18987	0.18568	0.17973	0.1903	0.17148	0.19103	0.18925	0.19957	0.20017	0.20525	0.20704	0.20078	0.20496	0.2088
1513	0.23955	0.22945	0.23817	0.23462	0.2202	0.22839	0.21406	0.20414	0.20182	0.20473	0.18744	0.19938	0.19795	0.21937	0.20855	0.22279	0.22979	0.23271	0.21985	0.23614
1512	0.2396	0.23766	0.24069	0.23585	0.24119	0.22184	0.20612	0.2121	0.19788	0.20983	0.18331	0.197	0.20596	0.21908	0.21929	0.22585	0.23472	0.22281	0.22997	0.22875
1511	0.25512	0.26982	0.25151	0.27187	0.24869	0.25116	0.23572	0.22422	0.22044	0.211	0.2102	0.2087	0.21996	0.2476	0.22968	0.24503	0.24409	0.25072	0.24722	0.23818
1510	0.27809	0.29555	0.28129	0.27173	0.27062	0.25425	0.26209	0.23729	0.22862	0.24015	0.22272	0.23038	0.24001	0.24466	0.2661	0.27126	0.28114	0.27843	0.28005	0.27571
1509	0.29593	0.329	0.32258	0.30515	0.30787	0.29375	0.27325	0.25755	0.26348	0.25278	0.24453	0.26913	0.26611	0.29312	0.29643	0.30368	0.3044	0.31077	0.30779	0.31718
1508	0.34047	0.35704	0.34419	0.36448	0.34612	0.31701	0.30653	0.28466	0.28622	0.3033	0.27469	0.29129	0.29337	0.30324	0.31578	0.32539	0.33356	0.33683	0.32268	0.34831
1507	0.36607	0.37531	0.37243	0.3713	0.35486	0.34006	0.3546	0.34519	0.31069	0.31544	0.29922	0.30321	0.31694	0.35457	0.33803	0.35721	0.38473	0.38884	0.37253	0.35866
1506	0.39716	0.42888	0.40494	0.43119	0.39797	0.38592	0.3799	0.35569	0.33956	0.35683	0.32106	0.34405	0.35041	0.40358	0.35579	0.40196	0.40528	0.40053	0.40577	0.41047
1505	0.39817	0.41258	0.39974	0.40416	0.40136	0.3864	0.36684	0.32876	0.32953	0.33909	0.30465	0.32762	0.32853	0.36029	0.36507	0.3816	0.39309	0.40032	0.39435	0.401
1504	0.43188	0.44334	0.42557	0.44215	0.42229	0.41024	0.39627	0.36182	0.356	0.35872	0.33165	0.34517	0.34501	0.38149	0.39414	0.40893	0.42316	0.40726	0.41877	0.41454
1503	0.4493	0.46404	0.44431	0.45039	0.44118	0.42533	0.40944	0.35342	0.35959	0.36165	0.33304	0.36207	0.35995	0.39454	0.39486	0.42803	0.42192	0.42625	0.42595	0.43571
1502	0.42206	0.44897	0.4183	0.43989	0.42626	0.41546	0.39215	0.36441	0.35456	0.35493	0.33011	0.34399	0.35433	0.39779	0.39356	0.41245	0.41756	0.43195	0.40558	0.42552
1501	0.39557	0.4185	0.39768	0.39846	0.4017	0.37867	0.36885	0.33032	0.32924	0.3308	0.30111	0.30882	0.33003	0.3565	0.35921	0.38527	0.3803	0.39887	0.3892	0.3921
1500	0.36905	0.38297	0.35683	0.37161	0.36551	0.35316	0.32509	0.32537	0.297	0.30413	0.28266	0.29481	0.29939	0.33323	0.33404	0.34932	0.36443	0.3608	0.35496	0.36022
1499	0.33406	0.35473	0.32491	0.35485	0.3352	0.32885	0.30723	0.27546	0.27381	0.28099	0.25595	0.2915	0.27463	0.31337	0.30404	0.32759	0.34052	0.33019	0.33247	0.34267
1498	0.30183	0.31535	0.29826	0.32277	0.30152	0.29347	0.2767	0.25705	0.24435	0.24876	0.23488	0.24588	0.25	0.2823	0.28006	0.28814	0.29496	0.30153	0.2991	0.29994
1497	0.31059	0.30598	0.2884	0.3176	0.30792	0.29392	0.26753	0.24776	0.25076	0.2555	0.22626	0.2422	0.24481	0.26775	0.27122	0.29631	0.29752	0.30566	0.29037	0.28923
1496	0.26433	0.26322	0.2565	0.25762	0.24983	0.24639	0.24417	0.2169	0.21892	0.22184	0.19724	0.2239	0.21658	0.23186	0.24104	0.25503	0.26539	0.2522	0.24412	0.25494
1495	0.2515	0.26837	0.2469	0.25675	0.23944	0.24241	0.23392	0.21144	0.21159	0.21459	0.18605	0.20416	0.19981	0.22902	0.23073	0.23532	0.24311	0.24745	0.23346	0.23641
1494	0.24855	0.24644	0.23578	0.23803	0.23726	0.2263	0.21884	0.19798	0.19642	0.19819	0.18884	0.20519	0.19874	0.22086	0.21467	0.22861	0.2369	0.23619	0.23454	0.23691
1493	0.23243	0.24046	0.23424	0.24057	0.23358	0.22206	0.21149	0.20094	0.19299	0.20177	0.18901	0.2018	0.19017	0.21408	0.21426	0.21666	0.23136	0.2249	0.22361	0.21896
1492	0.22741	0.24318	0.23087	0.23551	0.23909	0.21666	0.20451	0.19398	0.1929	0.20096	0.18655	0.17969	0.19691	0.21485	0.20326	0.21693	0.22539	0.21927	0.2175	0.22104
1491	0.22328	0.24114	0.22889	0.2476	0.22242	0.21678	0.21008	0.20937	0.2058	0.18614	0.16977	0.20118	0.17591	0.21634	0.21557	0.22164	0.22405	0.24181	0.22606	0.23618
1490	0.22947	0.23407	0.23749	0.22209	0.22702	0.21902	0.20972	0.20334	0.19055	0.19687	0.18602	0.19172	0.18891	0.20334	0.2119	0.222	0.23324	0.22639	0.2289	0.2201
1489	0.22588	0.23704	0.22769	0.23473	0.2237	0.22095	0.2079	0.20605	0.19155	0.19522	0.19036	0.19665	0.19023	0.21379	0.2078	0.22758	0.22784	0.22567	0.22064	0.22404
1488	0.25145	0.25723	0.24004	0.24771	0.2438	0.24275	0.22876	0.20236	0.20533	0.20744	0.18916	0.2026	0.21289	0.22743	0.21715	0.24223	0.24259	0.23783	0.23686	0.23488
1487	0.24544	0.25991	0.24385	0.25124	0.24502	0.23543	0.22519	0.20959	0.20299	0.21216	0.19367	0.20733	0.2094	0.23306	0.23541	0.23138	0.23466	0.24014	0.2338	0.23791
1486	0.26743	0.27386	0.26124	0.27332	0.25588	0.2534	0.24422	0.23172	0.22583	0.21595	0.20308	0.2175	0.22798	0.23678	0.24196	0.24982	0.25224	0.25591	0.25304	0.26032
1485	0.29137	0.29809	0.26926	0.29626	0.27419	0.26525	0.26364	0.25197	0.23676	0.23558	0.22334	0.24257	0.22948	0.25901	0.25909	0.26571	0.27607	0.27896	0.27087	0.2735
1484	0.29887	0.31451	0.30326	0.30828	0.30508	0.28989	0.28416	0.26261	0.26207	0.25543	0.24155	0.24885	0.25296	0.28256	0.285	0.28988	0.29745	0.28947	0.28972	0.28456
1483	0.32701	0.33061	0.31714	0.32849	0.31715	0.31453	0.29618	0.27792	0.25747	0.2746	0.25716	0.25585	0.26893	0.29219	0.29554	0.30972	0.31297	0.31788	0.30615	0.31152
1482	0.35035	0.35667	0.34451	0.36156	0.33702	0.3284	0.30882	0.29008	0.28335	0.28935	0.27201	0.28323	0.29491	0.31513	0.3226	0.33286	0.341	0.34523	0.33362	0.33786
1481	0.37159	0.37663	0.36083	0.37834	0.36787	0.34207	0.34177	0.31416	0.30131	0.29693	0.28773	0.30399	0.30858	0.32585	0.33014	0.35197	0.36206	0.36587	0.36655	0.36755
1480	0.38802	0.39409	0.38671	0.39466	0.38025	0.37037	0.35261	0.32745	0.32473	0.32471	0.29857	0.31779	0.31287	0.3512	0.34972	0.36733	0.37035	0.376	0.37208	0.36702
1479	0.38841	0.40304	0.39288	0.39455	0.37619	0.36716	0.35394	0.34252	0.32127	0.32299	0.30789	0.3271	0.31845	0.35919	0.35649	0.37881	0.38726	0.38013	0.3736	0.38994
1478	0.38996	0.40365	0.38917	0.39915	0.37334	0.36661	0.34427	0.32845	0.32104	0.31768	0.30575	0.30865	0.31192	0.34848	0.36109	0.36944	0.37134	0.38444	0.3826	0.37597
1477	0.38626	0.40483	0.38919	0.39156	0.38903	0.37556	0.35121	0.32662	0.31707	0.32557	0.30173	0.32065	0.31621	0.35021	0.36543	0.37824	0.38284	0.38893	0.3887	0.38827
1476	0.33672	0.35753	0.33924	0.35075	0.34458	0.3225	0.31127	0.2995	0.29079	0.28555	0.26031	0.27896	0.27706	0.31865	0.31029	0.33984	0.34832	0.34429	0.33232	0.33976
1475	0.31697	0.33148	0.32319	0.31242	0.3116	0.30099	0.29043	0.26081	0.25597	0.26916	0.24383	0.25745	0.26283	0.28763	0.28599	0.30944	0.31509	0.32153	0.303	0.30854
1474	0.29124	0.31148	0.29862	0.32315	0.28397	0.28884	0.27408	0.26354	0.24483	0.25057	0.2359	0.24792	0.25506	0.28524	0.27581	0.29781	0.30086	0.30007	0.30282	0.29437
1473	0.26041	0.27126	0.2604	0.26109	0.26052	0.23877	0.23389	0.22255	0.21654	0.2265	0.20779	0.21754	0.22416	0.23031	0.24204	0.25456	0.25792	0.25471	0.25537	0.26882
1472	0.23991	0.25738	0.25231	0.24256	0.2237	0.23341	0.22213	0.20246	0.20431	0.21186	0.19391	0.20937	0.20628	0.23021	0.23827	0.24052	0.25229	0.24639	0.23388	0.23557
1471	0.21712	0.2317	0.21391	0.22408	0.21494	0.20843	0.20298	0.19537	0.19203	0.18946	0.16811	0.17679	0.18868	0.20499	0.20132	0.21703	0.21452	0.21662	0.22065	0.22005
1470	0.2105	0.21069	0.21209	0.21999	0.19909	0.20129	0.18924	0.17892	0.17432	0.18244	0.16152	0.16839	0.16937	0.1875	0.19281	0.20028	0.1944	0.20703	0.20074	0.20099
1469	0.1839	0.19902	0.18193	0.19597	0.18439	0.18389	0.17666	0.15991	0.14767	0.16347	0.14486	0.16139	0.14992	0.16861	0.1709	0.18719	0.18591	0.18356	0.16752	0.18949
1468	0.18216	0.18499	0.18115	0.18696	0.17632	0.16457	0.16387	0.14215	0.15198	0.15185	0.14247	0.14531	0.15577	0.16162	0.16521	0.16954	0.17587	0.18034	0.17137	0.16475
1467	0.16967	0.17112	0.16329	0.17	0.17153	0.15543	0.15478	0.1393	0.14103	0.14558	0.12393	0.13391	0.13852	0.15786	0.15659	0.16858	0.16287	0.15717	0.15815	0.1604
1466	0.15806	0.16597	0.1593	0.15707	0.15543	0.15922	0.14925	0.14254	0.12705	0.1408	0.13607	0.12781	0.1477	0.15898	0.14144	0.14905	0.16377	0.15488	0.15751	0.14961
1465	0.16763	0.16771	0.15658	0.15737	0.14745	0.15607	0.15461	0.14877	0.12618	0.13313	0.1316	0.12956	0.14444	0.14276	0.14653	0.17453	0.1611	0.14552	0.15006	0.15818
1464	0.14	0.1543	0.14714	0.14522	0.14736	0.14714	0.12565	0.12661	0.12738	0.13524	0.11206	0.11958	0.11778	0.12813	0.13091	0.12397	0.14634	0.14175	0.14224	0.14169
1463	0.12689	0.14771	0.14131	0.12931	0.14378	0.13365	0.1314	0.12236	0.11844	0.12114	0.10753	0.11144	0.13343	0.11653	0.12098	0.12447	0.14117	0.14013	0.13321	0.13562
1462	0.14607	0.13862	0.13004	0.13196	0.14148	0.13236	0.12767	0.11284	0.11941	0.11057	0.1005	0.10845	0.10476	0.11874	0.12506	0.12918	0.13253	0.13297	0.12637	0.13959
1461	0.13138	0.13564	0.1231	0.13185	0.13149	0.12913	0.1251	0.10765	0.10518	0.10817	0.10232	0.10972	0.11525	0.1183	0.11346	0.12343	0.13314	0.12742	0.12495	0.13098
1460	0.12532	0.13787	0.12493	0.14479	0.1199	0.12991	0.12171	0.12195	0.11453	0.11403	0.11276	0.11371	0.10537	0.12808	0.12308	0.12368	0.12839	0.13339	0.12361	0.13026
1459	0.13007	0.13665	0.12499	0.15238	0.1346	0.12388	0.12371	0.10008	0.10628	0.10502	0.10727	0.11305	0.11365	0.12807	0.13375	0.1285	0.12852	0.13416	0.13533	0.13429
1458	0.12407	0.13923	0.11893	0.12665	0.13533	0.11082	0.12242	0.11663	0.11399	0.10987	0.09435	0.10282	0.10447	0.1183	0.11334	0.12639	0.12194	0.13034	0.11729	0.1197
1457	0.12061	0.13372	0.1132	0.126075	0.12975	0.113515	0.114215	0.11665	0.11111	0.106195	0.096275	0.102405	0.1015	0.116365	0.112415	0.12025	0.11986	0.13255	0.119585	0.12366
1456	0.11715	0.12821	0.10747	0.1255	0.12417	0.11621	0.10601	0.11667	0.10823	0.10252	0.0982	0.10199	0.09853	0.11443	0.11149	0.11411	0.11778	0.13476	0.12188	0.12762
1455	0.11992	0.12076	0.12084	0.11294	0.12144	0.11341	0.11237	0.09987	0.09637	0.09332	0.0898	0.09747	0.09297	0.11582	0.10187	0.11218	0.10244	0.11149	0.10838	0.11477
1454	0.11938	0.12746	0.11664	0.12382	0.11989	0.11126	0.11088	0.10395	0.0899	0.1043	0.10125	0.09796	0.09583	0.10418	0.10676	0.11661	0.1259	0.11779	0.1175	0.11178
1453	0.12097	0.13826	0.12834	0.12245	0.1203	0.11775	0.11676	0.10667	0.09552	0.10402	0.09843	0.09959	0.10582	0.10788	0.10876	0.11995	0.13074	0.11382	0.12112	0.12117
1452	0.1284	0.13067	0.12369	0.13283	0.12726	0.12297	0.11524	0.11607	0.10914	0.11521	0.10189	0.10627	0.11103	0.10743	0.11384	0.11628	0.11774	0.11993	0.1204	0.12257
1451	0.13015	0.14117	0.12788	0.13338	0.12685	0.12828	0.11164	0.10617	0.10767	0.11748	0.0962	0.10985	0.09699	0.11831	0.11292	0.11356	0.12734	0.12633	0.13025	0.12851
1450	0.13123	0.13932	0.13446	0.14062	0.14005	0.13803	0.12026	0.12163	0.11672	0.10659	0.10515	0.11563	0.12523	0.12614	0.1341	0.13977	0.14066	0.12764	0.13087	0.1273
1449	0.14031	0.15137	0.15372	0.14807	0.14471	0.135	0.14664	0.1236	0.11755	0.11291	0.10252	0.11035	0.11747	0.13209	0.13398	0.14388	0.13939	0.13822	0.13474	0.13986
1448	0.14056	0.14144	0.14577	0.15005	0.15904	0.15078	0.1425	0.13639	0.13258	0.13393	0.12846	0.12707	0.13403	0.14046	0.15084	0.14169	0.16859	0.15717	0.14699	0.14955
1447	0.14912	0.16528	0.14492	0.1613	0.16571	0.15084	0.13826	0.13466	0.12995	0.13147	0.11358	0.12263	0.12286	0.13165	0.1432	0.14608	0.15289	0.15543	0.14382	0.14303
1446	0.14657	0.16163	0.15651	0.15593	0.15773	0.1329	0.14025	0.1386	0.13598	0.13349	0.12533	0.12091	0.1253	0.14373	0.13947	0.14263	0.15219	0.15422	0.15864	0.15449
1445	0.15462	0.16871	0.14385	0.15873	0.15531	0.15569	0.15436	0.12763	0.13047	0.12983	0.12154	0.12704	0.12973	0.13799	0.14149	0.14838	0.14151	0.14064	0.14545	0.1489
1444	0.14692	0.15391	0.16294	0.15411	0.15631	0.14729	0.12926	0.13978	0.12631	0.13526	0.12003	0.13565	0.13407	0.13792	0.13372	0.14946	0.15657	0.14926	0.14768	0.15395
1443	0.15227	0.16812	0.15688	0.15072	0.14925	0.15023	0.14132	0.12684	0.12462	0.12665	0.12124	0.12583	0.12653	0.13622	0.12904	0.14377	0.1524	0.1444	0.14623	0.14537
1442	0.14428	0.14552	0.14754	0.15079	0.14893	0.13849	0.12686	0.12666	0.12576	0.12912	0.11748	0.12584	0.12235	0.1331	0.12141	0.1354	0.14494	0.13816	0.14922	0.14334
1441	0.13676	0.14178	0.1379	0.13272	0.13627	0.12833	0.13193	0.12428	0.11987	0.13208	0.11465	0.10502	0.11861	0.12477	0.12192	0.13825	0.13443	0.12672	0.13851	0.12704
1440	0.11857	0.12541	0.13792	0.13126	0.12791	0.11723	0.12349	0.12323	0.11431	0.12054	0.108	0.10777	0.10723	0.11343	0.12025	0.12775	0.11427	0.12284	0.12253	0.13241
1439	0.118	0.12632	0.1292	0.11917	0.12949	0.1108	0.11024	0.09738	0.10577	0.09928	0.09416	0.0947	0.1042	0.10985	0.12294	0.11517	0.12127	0.11927	0.1288	0.11695
1438	0.10068	0.1173	0.11044	0.11052	0.12052	0.10646	0.10948	0.0999	0.10354	0.09026	0.0961	0.09427	0.09584	0.10553	0.10077	0.10907	0.11261	0.11075	0.10606	0.11475
1437	0.099605	0.11183	0.10835	0.106705	0.113355	0.103975	0.09432	0.093205	0.096165	0.093885	0.09258	0.088405	0.0939	0.099615	0.09125	0.0979	0.10991	0.10725	0.10217	0.11171
1436	0.09853	0.10636	0.10626	0.10289	0.10619	0.10149	0.07916	0.08651	0.08879	0.09751	0.08906	0.08254	0.09196	0.0937	0.08173	0.08673	0.10721	0.10375	0.09828	0.10867
1435	0.09481	0.11182	0.10028	0.09082	0.09245	0.09761	0.08504	0.08949	0.0829	0.07859	0.08387	0.07884	0.08215	0.08349	0.09227	0.09208	0.09974	0.08267	0.1042	0.09857
