 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

276 atoms
4 atom types

0.000000   12.000000   xlo xhi 
0.000000   18.000000   ylo yhi 
0.000000   47.297921   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

4  14.006700
1  12.010700
2  1.007940
3  15.999000

Atoms # charge

122 3 0.0 -3.299751 -0.560190 42.966351 
123 1 0.0 -3.887735 0.869985 40.266797 
124 4 0.0 -1.683876 0.755786 41.572773 
125 1 0.0 -2.199511 -0.135652 42.736474 
126 3 0.0 0.451538 1.967011 41.529883 
127 1 0.0 -0.255705 1.157170 42.054139 
128 2 0.0 -4.447253 0.429367 41.065684 
129 1 0.0 -1.066112 -0.402453 43.743104 
130 1 0.0 0.080072 0.513877 43.407539 
131 2 0.0 -1.695844 -2.070287 45.049438 
132 1 0.0 -0.910846 -1.330168 44.814672 
133 1 0.0 1.211900 0.605801 44.304709 
134 2 0.0 2.089907 1.224447 44.076323 
135 1 0.0 0.266052 -1.217330 45.633124 
136 1 0.0 1.336692 -0.251881 45.381303 
137 3 0.0 0.448219 -2.210479 46.525090 
138 2 0.0 2.253653 -0.293970 45.978535 
139 2 0.0 7.154857 9.018621 0.955011 
140 1 0.0 7.488831 8.010105 1.204921 
141 1 0.0 7.206755 6.870400 0.354714 
142 2 0.0 10.905935 4.739675 3.632983 
143 2 0.0 8.604605 8.709896 2.946247 
144 2 0.0 11.697394 7.057508 3.125354 
145 1 0.0 8.337878 7.855087 2.301354 
146 1 0.0 7.730969 5.572596 0.675842 
147 2 0.0 7.488970 4.683712 0.044781 
148 1 0.0 8.937957 6.557535 2.612023 
149 1 0.0 10.175352 5.118679 4.380928 
150 1 0.0 8.598641 5.399891 1.797537 
151 2 0.0 10.674149 5.109047 5.422921 
152 1 0.0 10.957652 7.506531 3.848088 
153 2 0.0 9.328309 4.336094 4.507877 
154 2 0.0 9.000874 4.479236 2.133898 
155 1 0.0 9.666117 6.560296 3.944506 
156 2 0.0 10.669677 8.484228 3.550830 
157 2 0.0 11.529820 7.589268 4.830662 
158 1 0.0 8.707473 6.981415 5.032046 
159 2 0.0 7.284166 5.339269 4.460790 
160 2 0.0 9.732978 8.846459 5.744165 
161 1 0.0 7.488708 6.212171 5.130632 
162 1 0.0 8.866796 8.151788 5.891393 
163 1 0.0 6.491013 6.514031 6.115968 
164 1 0.0 7.864471 8.523152 6.789113 
165 2 0.0 5.634042 5.845315 6.212422 
166 2 0.0 7.949895 9.424312 7.350108 
167 1 0.0 6.627476 7.760103 6.875258 
168 3 0.0 5.695396 8.138082 7.817374 
169 2 0.0 7.769915 6.755936 8.772974 
170 1 0.0 5.674869 7.421877 8.932889 
171 1 0.0 6.926241 6.745176 9.390840 
172 2 0.0 3.580363 7.899957 9.432173 
173 1 0.0 4.490721 7.312993 9.745857 
174 1 0.0 6.998748 6.096572 10.650619 
175 2 0.0 7.941433 5.662136 10.956247 
176 1 0.0 4.519051 6.603922 10.983171 
177 1 0.0 5.812129 5.989705 11.510837 
178 1 0.0 3.411179 6.303738 11.991268 
179 3 0.0 2.309175 6.686925 11.834675 
180 1 0.0 5.565879 5.336277 12.817989 
181 4 0.0 4.062355 5.600095 13.237608 
182 3 0.0 6.340654 4.741060 13.499604 
183 2 0.0 1.517174 5.599898 14.129772 
184 1 0.0 3.589218 5.600932 14.648097 
185 1 0.0 2.188833 5.526994 14.965255 
186 2 0.0 5.529810 5.589996 15.570200 
187 1 0.0 4.466957 5.466532 15.757568 
188 1 0.0 1.708482 5.190695 16.235916 
189 2 0.0 0.631833 5.058701 16.430266 
190 1 0.0 4.071376 5.158434 17.106782 
191 1 0.0 2.663485 5.003232 17.295398 
192 3 0.0 6.800041 6.652958 17.142703 
193 4 0.0 5.102434 5.128193 18.178405 
194 2 0.0 2.294709 4.661929 18.292023 
195 1 0.0 6.276886 6.184308 18.121631 
196 3 0.0 3.923497 4.262015 20.144869 
197 1 0.0 4.637571 5.104694 19.687299 
198 1 0.0 6.482321 6.758714 19.526162 
199 1 0.0 5.460959 6.083868 20.460607 
200 2 0.0 8.164644 8.140283 19.354389 
201 1 0.0 7.398381 7.724459 20.032645 
202 1 0.0 5.245411 6.673278 21.759528 
203 2 0.0 4.429018 6.303427 22.335499 
204 1 0.0 7.158927 8.195826 21.384587 
205 1 0.0 6.103668 7.719857 22.234050 
206 2 0.0 7.858669 8.987629 21.848972 
207 2 0.0 6.625460 10.731801 22.472818 
208 3 0.0 5.825585 8.132753 23.501630 
209 1 0.0 6.915179 10.403420 23.455908 
210 1 0.0 6.291249 9.228374 24.084531 
211 2 0.0 8.169159 12.171345 23.759842 
212 2 0.0 10.413902 10.003851 26.466709 
213 2 0.0 10.380740 12.347309 25.001805 
214 1 0.0 7.773669 11.212450 24.180243 
215 1 0.0 6.484452 8.978158 25.517553 
216 2 0.0 5.978492 8.169556 25.990185 
217 1 0.0 9.925021 10.668847 27.216398 
218 1 0.0 8.023740 10.919914 25.588701 
219 1 0.0 9.676806 12.794803 25.725221 
220 2 0.0 10.726927 11.164492 27.784662 
221 1 0.0 7.329976 9.818953 26.256631 
222 2 0.0 9.055318 13.506741 25.079168 
223 2 0.0 9.415883 10.016383 28.004211 
224 2 0.0 10.301970 13.435116 26.430498 
225 1 0.0 8.888044 11.684166 26.519255 
226 2 0.0 7.534340 9.641279 27.328425 
227 1 0.0 8.110979 12.382817 27.606502 
228 2 0.0 6.087124 11.906739 26.702890 
229 2 0.0 9.855197 13.006491 28.728039 
230 1 0.0 6.643042 12.278467 27.598185 
231 1 0.0 8.750896 12.988800 28.752633 
232 1 0.0 5.943013 12.622226 28.756603 
233 1 0.0 8.023988 13.350030 29.908270 
234 2 0.0 4.842054 12.465388 28.711434 
235 2 0.0 8.578615 13.737985 30.775929 
236 1 0.0 6.599308 13.098412 29.967600 
237 3 0.0 5.799475 13.378366 31.008642 
238 2 0.0 7.951504 12.056204 32.083886 
