 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

1128 atoms
3 atom types

0.000000   4.439390   xlo xhi 
0.000000   8.134501   ylo yhi 
0.000000   260.694251   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

3  1.007940
1  12.010700
2  18.998404

Atoms # charge

1 1 0.0 -0.138114 -0.037680 -6.263362 
2 2 0.0 -1.020275 1.024517 -6.223969 
3 1 0.0 0.675236 -0.038228 -4.929220 
4 3 0.0 1.398596 -0.902610 -4.896366 
5 1 0.0 -0.121652 -0.129459 -3.621175 
6 2 0.0 -1.013503 0.968925 -3.567991 
7 2 0.0 -0.891025 -1.270171 -3.724825 
8 1 0.0 0.651222 -0.179516 -2.226375 
9 3 0.0 1.282969 -1.045230 -2.201911 
10 3 0.0 1.290553 0.632793 -2.175858 
11 1 0.0 -0.151876 -0.285030 -0.897338 
12 2 0.0 -0.991155 0.771856 -0.898595 
13 2 0.0 -1.032892 -1.390203 -0.947383 
14 1 0.0 0.587357 -0.350612 0.499901 
15 3 0.0 1.235320 -1.196028 0.463387 
16 3 0.0 1.275587 0.477244 0.462954 
17 1 0.0 -0.174707 -0.265686 1.858352 
18 2 0.0 -1.017728 0.831689 1.760896 
19 2 0.0 -1.016936 -1.356430 1.893380 
20 1 0.0 0.642535 -0.188081 3.202914 
21 3 0.0 1.437620 -0.879720 3.124906 
22 3 0.0 1.140644 0.735337 3.176444 
23 1 0.0 -0.140944 -0.348194 4.505359 
24 2 0.0 -1.178528 0.583841 4.549697 
25 2 0.0 -0.733052 -1.591829 4.467420 
26 1 0.0 0.701538 -0.190452 5.841068 
27 2 0.0 1.789666 -1.111064 5.964403 
28 3 0.0 1.150251 0.796469 5.770237 
29 1 0.0 -0.092186 -0.165848 7.265274 
30 2 0.0 -1.139089 0.691616 7.263040 
31 2 0.0 -0.702738 -1.399475 7.354804 
32 1 0.0 0.699559 -0.035830 8.551095 
33 3 0.0 1.462798 -0.759303 8.500561 
34 3 0.0 1.203084 0.878708 8.521734 
35 1 0.0 -0.043654 -0.153186 9.940627 
36 2 0.0 -1.008129 0.820446 10.001048 
37 2 0.0 -0.679204 -1.406831 9.924705 
38 1 0.0 0.754169 -0.074087 11.276194 
39 3 0.0 1.488015 -0.880443 11.279398 
40 3 0.0 1.397140 0.739879 11.241570 
41 1 0.0 -0.011345 0.053526 12.648548 
42 2 0.0 -0.630603 1.305452 12.618109 
43 2 0.0 -1.020643 -0.900226 12.594144 
44 1 0.0 0.808822 -0.095477 13.967378 
45 3 0.0 1.261045 -1.005123 13.960062 
46 2 0.0 1.937676 0.835981 13.973275 
47 1 0.0 0.042547 -0.085754 15.432404 
48 2 0.0 -0.705922 1.094193 15.496985 
49 2 0.0 -0.872766 -1.139526 15.441335 
50 1 0.0 0.778787 -0.236118 16.747214 
51 3 0.0 1.368918 -1.182415 16.737730 
52 3 0.0 1.500751 0.514272 16.648363 
53 1 0.0 -0.062394 -0.096054 18.094123 
54 2 0.0 -0.821075 1.073865 17.988389 
55 2 0.0 -1.017720 -1.162098 18.194543 
56 1 0.0 0.729766 -0.047321 19.465370 
57 3 0.0 1.450093 -0.825451 19.433541 
58 3 0.0 1.236127 0.895975 19.538694 
59 1 0.0 -0.119697 -0.144208 20.769464 
60 2 0.0 -1.103055 0.817651 20.739932 
61 2 0.0 -0.784340 -1.396666 20.756851 
62 1 0.0 0.606181 -0.088982 22.167692 
63 2 0.0 1.704002 -1.156070 22.098477 
64 3 0.0 1.129178 0.795204 22.122984 
65 1 0.0 -0.109826 -0.216217 23.572678 
66 2 0.0 -1.118512 0.753536 23.601922 
67 2 0.0 -0.783318 -1.446847 23.604732 
68 1 0.0 0.676707 0.000775 24.918503 
69 3 0.0 1.430757 -0.781758 24.911501 
70 3 0.0 1.075097 0.972378 24.953170 
71 1 0.0 -0.165323 -0.046062 26.237713 
72 2 0.0 -1.128070 0.962069 26.230107 
73 2 0.0 -0.936051 -1.215762 26.261016 
74 1 0.0 0.618547 -0.039110 27.643423 
75 3 0.0 1.276356 -0.862786 27.793026 
76 3 0.0 1.238705 0.837266 27.669583 
77 1 0.0 -0.106750 0.121962 28.978676 
78 2 0.0 -0.655415 1.450712 28.921822 
79 2 0.0 -1.214496 -0.777359 28.947210 
80 1 0.0 0.632975 -0.096226 30.351508 
81 3 0.0 1.152697 -1.009715 30.348122 
82 2 0.0 1.751677 0.797724 30.408570 
83 1 0.0 -0.103275 -0.004781 31.819920 
84 2 0.0 -0.676963 1.228617 31.948988 
85 2 0.0 -1.183281 -0.918393 31.824012 
86 1 0.0 0.717973 -0.214191 33.063443 
87 3 0.0 1.235511 -1.137504 32.975646 
88 3 0.0 1.552120 0.462926 33.010720 
89 1 0.0 -0.002252 -0.097756 34.479058 
90 2 0.0 -0.834784 1.040573 34.436344 
91 2 0.0 -0.902732 -1.205607 34.531138 
92 1 0.0 0.757173 -0.038919 35.863380 
