 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

1032 atoms
4 atom types

0.000000   8.000000   xlo xhi 
0.000000   70.000000   ylo yhi 
0.000000   45.990000   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 
93 1 0.0 2.750896 3.988800 27.957542 
94 1 0.0 -0.056987 3.622226 27.961402 
95 1 0.0 2.023987 4.350030 29.081222 
96 2 0.0 -1.157946 3.465388 27.917482 
97 2 0.0 2.578615 4.737985 29.924888 
98 1 0.0 0.599308 4.098412 29.138911 
99 3 0.0 -0.200525 4.378366 30.151166 
100 2 0.0 1.951504 3.056204 31.196676 
101 1 0.0 -0.066982 3.863140 31.347980 
102 1 0.0 1.099842 3.134416 31.851503 
103 2 0.0 -2.068954 4.639611 31.860752 
104 1 0.0 -1.230741 4.011551 32.151498 
105 1 0.0 1.026390 2.514328 33.050102 
106 2 0.0 1.906129 1.952149 33.420642 
107 1 0.0 -1.334223 3.355243 33.402081 
108 1 0.0 -0.118534 2.701075 33.922302 
109 1 0.0 -2.379361 3.327453 34.529869 
110 3 0.0 -3.520412 3.624813 34.403912 
111 1 0.0 -0.367936 2.202756 35.329835 
112 4 0.0 -1.766430 2.644831 35.784383 
113 3 0.0 0.268382 1.342010 35.792912 
114 1 0.0 -2.527433 2.000930 36.874612 
115 2 0.0 -0.841547 1.937732 38.096284 
116 2 0.0 -4.424212 1.924822 35.983092 
117 1 0.0 -1.877143 1.662539 38.072149 
118 1 0.0 -3.945570 1.717180 36.890915 
119 1 0.0 -2.465358 1.101640 39.204080 
120 1 0.0 -4.604807 1.219666 37.999462 
121 2 0.0 -5.697394 1.037339 37.968734 
122 3 0.0 -3.299751 -0.560190 41.778210 
123 1 0.0 -3.887735 0.869985 39.153306 
124 4 0.0 -1.683876 0.755786 40.423168 
125 1 0.0 -2.199511 -0.135652 41.554690 
126 3 0.0 0.451538 1.967011 40.381465 
127 1 0.0 -0.255705 1.157170 40.891223 
128 2 0.0 -4.447253 0.429367 39.930102 
129 1 0.0 -1.066112 -0.402453 42.533484 
130 1 0.0 0.080072 0.513877 42.207198 
131 2 0.0 -1.695844 -2.070287 43.803694 
132 1 0.0 -0.910846 -1.330168 43.575420 
133 1 0.0 1.211900 0.605801 43.079559 
134 2 0.0 2.089907 1.224447 42.857488 
135 1 0.0 0.266052 -1.217330 44.371239 
136 1 0.0 1.336692 -0.251881 44.126382 
137 3 0.0 0.448219 -2.210479 45.238540 
138 2 0.0 2.253653 -0.293970 44.707099 
139 2 0.0 1.154857 8.018621 0.928602 
140 1 0.0 1.488831 7.010105 1.171602 
141 1 0.0 1.206755 5.870400 0.344905 
142 2 0.0 4.905934 3.739675 3.532521 
143 2 0.0 2.604605 7.709896 2.864775 
144 2 0.0 5.697394 6.057508 3.038929 
145 1 0.0 2.337878 6.855087 2.237715 
146 1 0.0 1.730969 4.572596 0.657153 
147 2 0.0 1.488970 3.683712 0.043543 
148 1 0.0 2.937957 5.557535 2.539793 
149 1 0.0 4.175352 4.118679 4.259783 
150 1 0.0 2.598642 4.399891 1.747830 
151 2 0.0 4.674149 4.109047 5.272962 
152 1 0.0 4.957651 6.506531 3.741678 
153 2 0.0 3.328309 3.336094 4.383221 
154 2 0.0 3.000873 3.479236 2.074890 
155 1 0.0 3.666117 5.560296 3.835429 
156 2 0.0 4.669677 7.484228 3.452640 
157 2 0.0 5.529820 6.589268 4.697081 
158 1 0.0 2.707473 5.981415 4.892896 
159 2 0.0 1.284166 4.339269 4.337437 
160 2 0.0 3.732977 7.846459 5.585323 
161 1 0.0 1.488708 5.212171 4.988756 
162 1 0.0 2.866796 7.151788 5.728479 
163 1 0.0 0.491013 5.514031 5.946844 
164 1 0.0 1.864471 7.523152 6.601375 
165 2 0.0 -0.365959 4.845315 6.040631 
166 2 0.0 1.949895 8.424312 7.146857 
167 1 0.0 0.627476 6.760103 6.685138 
168 3 0.0 -0.304604 7.138082 7.601202 
169 2 0.0 1.769915 5.755936 8.530377 
170 1 0.0 -0.325131 6.421877 8.685869 
171 1 0.0 0.926241 5.745176 9.131157 
172 2 0.0 -2.419637 6.899957 9.171347 
173 1 0.0 -1.509279 6.312993 9.476357 
174 1 0.0 0.998749 5.096572 10.356099 
175 2 0.0 1.941433 4.662136 10.653276 
176 1 0.0 -1.480949 5.603922 10.679455 
177 1 0.0 -0.187871 4.989705 11.192530 
178 1 0.0 -2.588821 5.303738 11.659676 
179 3 0.0 -3.690825 5.686925 11.507413 
180 1 0.0 -0.434121 4.336277 12.463535 
181 4 0.0 -1.937645 4.600095 12.871551 
182 3 0.0 0.340653 3.741060 13.126302 
183 2 0.0 -4.482826 4.599898 13.739044 
184 1 0.0 -2.410782 4.600932 14.243036 
185 1 0.0 -3.811167 4.526994 14.551423 
186 2 0.0 -0.470190 4.589996 15.139640 
187 1 0.0 -1.533043 4.466532 15.321827 
188 1 0.0 -4.291518 4.190695 15.786947 
189 2 0.0 -5.368167 4.058701 15.975923 
190 1 0.0 -1.928624 4.158434 16.633731 
191 1 0.0 -3.336515 4.003232 16.817131 
192 3 0.0 0.800041 5.652958 16.668659 
193 4 0.0 -0.897566 4.128193 17.675721 
194 2 0.0 -3.705291 3.661929 17.786197 
195 1 0.0 0.276886 5.184308 17.620517 
196 3 0.0 -2.076503 3.262015 19.587807 
197 1 0.0 -1.362429 4.104694 19.142890 
198 1 0.0 0.482320 5.758714 18.986209 
199 1 0.0 -0.539042 5.083868 19.894813 
200 2 0.0 2.164643 7.140283 18.819186 
201 1 0.0 1.398381 6.724459 19.478686 
202 1 0.0 -0.754589 5.673278 21.157816 
203 2 0.0 -1.570982 5.303427 21.717859 
204 1 0.0 1.158927 7.195826 20.793243 
205 1 0.0 0.103668 6.719857 21.619216 
206 2 0.0 1.858669 7.987629 21.244786 
207 2 0.0 0.625460 9.731801 21.851381 
208 3 0.0 -0.174415 7.132753 22.851744 
209 1 0.0 0.915179 9.403420 22.807286 
210 1 0.0 0.291249 8.228374 23.418526 
211 2 0.0 2.169160 11.171345 23.102815 
212 2 0.0 4.413902 9.003851 25.734830 
213 2 0.0 4.380739 11.347309 24.310435 
214 1 0.0 1.773669 10.212450 23.511591 
215 1 0.0 0.484452 7.978158 24.811921 
216 2 0.0 -0.021508 7.169556 25.271483 
217 1 0.0 3.925021 9.668847 26.463788 
218 1 0.0 2.023740 9.919914 24.881101 
219 1 0.0 3.676805 11.794803 25.013846 
220 2 0.0 4.726927 10.164492 27.016338 
221 1 0.0 1.329976 8.818953 25.530561 
222 2 0.0 3.055318 12.506741 24.385658 
223 2 0.0 3.415883 9.016383 27.229816 
224 2 0.0 4.301970 12.435116 25.699620 
225 1 0.0 2.888045 10.684166 25.785923 
226 2 0.0 1.534340 8.641279 26.572717 
227 1 0.0 2.110980 11.382817 26.843104 
228 2 0.0 0.087124 10.906739 25.964480 
229 2 0.0 3.855198 12.006491 27.933628 
230 1 0.0 0.643042 11.278467 26.835017 
231 1 0.0 2.750896 11.988800 27.957542 
232 1 0.0 -0.056987 11.622226 27.961402 
233 1 0.0 2.023987 12.350030 29.081222 
234 2 0.0 -1.157946 11.465388 27.917482 
235 2 0.0 2.578615 12.737985 29.924888 
236 1 0.0 0.599308 12.098412 29.138911 
237 3 0.0 -0.200525 12.378366 30.151166 
238 2 0.0 1.951504 11.056204 31.196676 
239 1 0.0 -0.066982 11.863140 31.347980 
240 1 0.0 1.099842 11.134416 31.851503 
241 2 0.0 -2.068954 12.639611 31.860752 
242 1 0.0 -1.230741 12.011551 32.151498 
243 1 0.0 1.026390 10.514328 33.050102 
244 2 0.0 1.906129 9.952149 33.420642 
245 1 0.0 -1.334223 11.355243 33.402081 
246 1 0.0 -0.118534 10.701075 33.922302 
247 1 0.0 -2.379361 11.327453 34.529869 
248 3 0.0 -3.520412 11.624813 34.403912 
249 1 0.0 -0.367936 10.202756 35.329835 
250 4 0.0 -1.766430 10.644831 35.784383 
251 3 0.0 0.268382 9.342010 35.792912 
252 1 0.0 -2.527433 10.000930 36.874612 
253 2 0.0 -0.841547 9.937732 38.096284 
254 2 0.0 -4.424212 9.924822 35.983092 
255 1 0.0 -1.877143 9.662539 38.072149 
256 1 0.0 -3.945570 9.717180 36.890915 
257 1 0.0 -2.465358 9.101640 39.204080 
258 1 0.0 -4.604807 9.219666 37.999462 
259 2 0.0 -5.697394 9.037339 37.968734 
260 3 0.0 -3.299751 7.439810 41.778210 
261 1 0.0 -3.887735 8.869985 39.153306 
262 4 0.0 -1.683876 8.755786 40.423168 
263 1 0.0 -2.199511 7.864348 41.554690 
264 3 0.0 0.451538 9.967011 40.381465 
265 1 0.0 -0.255705 9.157170 40.891223 
266 2 0.0 -4.447253 8.429367 39.930102 
267 1 0.0 -1.066112 7.597547 42.533484 
268 1 0.0 0.080072 8.513877 42.207198 
269 2 0.0 -1.695844 5.929713 43.803694 
270 1 0.0 -0.910846 6.669832 43.575420 
271 1 0.0 1.211900 8.605801 43.079559 
272 2 0.0 2.089907 9.224447 42.857488 
273 1 0.0 0.266052 6.782670 44.371239 
274 1 0.0 1.336692 7.748119 44.126382 
275 3 0.0 0.448219 5.789521 45.238540 
276 2 0.0 2.253653 7.706030 44.707099 
277 1 0.0 2.009989 20.239998 4.883560 
278 1 0.0 2.615116 21.302638 4.192026 
279 1 0.0 3.134522 21.119791 2.879349 
280 1 0.0 3.121958 19.838882 2.342486 
281 1 0.0 1.868951 18.991311 4.260761 
282 1 0.0 2.458419 18.795703 2.988819 
283 1 0.0 3.785427 19.351868 1.077579 
284 4 0.0 3.293400 17.911946 0.862359 
285 1 0.0 0.654546 15.058065 21.005406 
286 2 0.0 2.746456 22.244346 4.731864 
287 2 0.0 3.573512 21.937733 2.315653 
288 2 0.0 1.359569 18.189146 4.791898 
289 3 0.0 1.775886 16.615327 2.268010 
290 1 0.0 2.444949 17.606895 2.069729 
291 3 0.0 4.482452 19.988728 0.313186 
292 1 0.0 1.555497 20.436717 6.284470 
293 1 0.0 1.160077 21.703807 6.724234 
294 1 0.0 0.691846 21.926006 8.052100 
295 1 0.0 0.646291 20.840888 8.907676 
296 1 0.0 1.524369 19.349352 7.181942 
297 1 0.0 1.062271 19.594063 8.480771 
298 1 0.0 0.161439 20.739444 10.320945 
299 4 0.0 0.358343 19.410912 10.688847 
300 3 0.0 -0.343234 21.593786 11.045747 
301 2 0.0 1.183662 22.524761 6.000671 
302 2 0.0 0.347660 22.884467 8.410686 
303 2 0.0 1.846811 18.358024 6.900464 
304 3 0.0 1.128720 17.460753 9.622982 
305 1 0.0 0.887722 18.650970 9.611478 
306 1 0.0 0.741709 16.272836 21.686245 
307 2 0.0 1.412434 22.969625 41.156789 
308 2 0.0 0.073716 13.632072 17.729617 
309 1 0.0 -0.255881 17.443367 17.427601 
310 1 0.0 -0.792898 16.622421 16.416661 
311 1 0.0 -0.662780 15.254614 16.492967 
312 1 0.0 -0.021197 14.699121 17.624223 
313 1 0.0 0.506518 15.512193 18.646142 
314 1 0.0 0.395586 16.888092 18.551941 
315 1 0.0 2.864814 18.068049 44.143199 
316 2 0.0 0.012142 13.026485 21.047165 
317 3 0.0 1.195813 14.893982 19.706483 
318 2 0.0 -2.909394 18.410229 13.717078 
319 1 0.0 -1.876299 18.378394 13.417870 
320 1 0.0 -1.429246 18.953536 12.219793 
321 2 0.0 -1.094967 13.289126 23.378162 
322 1 0.0 -0.085194 18.873033 11.927207 
323 3 0.0 -1.589155 17.164197 15.397260 
324 1 0.0 0.812769 18.242525 12.784377 
325 2 0.0 1.846794 18.194213 12.476051 
326 1 0.0 0.367087 17.653513 13.994368 
327 2 0.0 1.053834 17.129721 14.663946 
328 1 0.0 -0.985272 17.731967 14.286738 
329 2 0.0 -1.089915 14.626238 15.695524 
330 2 0.0 -0.367012 18.512377 17.349210 
331 1 0.0 0.116926 16.409752 22.946855 
332 1 0.0 -0.538061 15.319287 23.500417 
333 2 0.0 0.110426 17.355485 23.490561 
334 1 0.0 -0.559356 14.091830 22.878216 
335 2 0.0 0.802743 17.535152 19.339457 
336 1 0.0 0.048310 13.958704 21.603101 
337 2 0.0 -2.098129 19.465697 11.521376 
338 1 0.0 -2.680272 18.210255 28.130679 
339 1 0.0 -3.669675 18.529816 27.173099 
340 1 0.0 -3.766043 17.866818 25.925505 
341 1 0.0 -2.827750 16.909289 25.693590 
342 1 0.0 -1.761271 17.199067 27.909758 
343 1 0.0 -1.850811 16.580719 26.654837 
344 1 0.0 -2.529004 16.279853 24.379761 
345 4 0.0 -1.357790 15.549062 24.638737 
346 1 0.0 2.495423 19.108997 43.262372 
347 2 0.0 -4.347553 19.332474 27.408302 
348 2 0.0 -4.482452 18.108017 25.126757 
349 2 0.0 -0.949875 17.001712 28.622163 
350 3 0.0 0.163606 15.277628 26.461566 
351 1 0.0 -0.874945 15.711173 25.994447 
352 3 0.0 -3.085573 16.416336 23.265515 
353 2 0.0 -3.937519 21.748502 35.099700 
354 1 0.0 -2.542852 19.042349 29.330186 
355 1 0.0 -2.557714 20.414069 29.112475 
356 1 0.0 -2.440990 21.280149 30.215127 
357 1 0.0 -2.330974 20.707050 31.496111 
358 1 0.0 -2.399412 18.467835 30.637334 
359 1 0.0 -2.312495 19.343080 31.714090 
360 1 0.0 -2.233539 21.387505 32.818511 
361 4 0.0 -2.186351 20.363694 33.800738 
362 3 0.0 -2.197730 22.585305 33.024431 
363 2 0.0 -2.639128 20.797472 28.065926 
364 2 0.0 -2.441803 22.348271 30.107455 
365 2 0.0 -2.407581 17.400663 30.805103 
366 3 0.0 -2.190954 18.044385 33.825745 
367 1 0.0 -2.221162 19.098922 33.202694 
368 1 0.0 1.973036 20.299105 43.773036 
369 3 0.0 1.798644 21.362915 42.926523 
370 2 0.0 -0.222855 19.458472 42.992901 
371 1 0.0 -0.328726 22.182124 40.107257 
372 1 0.0 -1.264319 21.163659 40.181611 
373 1 0.0 -1.215558 20.190124 41.186163 
374 1 0.0 -0.225013 20.206303 42.182915 
375 1 0.0 0.710218 21.223271 42.091708 
376 1 0.0 0.656342 22.206288 41.090611 
377 2 0.0 1.622654 19.554456 46.986398 
378 2 0.0 3.389825 17.240364 43.654691 
379 2 0.0 2.652300 19.062098 42.145598 
380 2 0.0 -3.931895 22.176157 37.670819 
381 1 0.0 -3.182696 21.570278 37.175487 
382 1 0.0 -3.178747 21.345619 35.773719 
383 1 0.0 -2.175739 20.570774 35.219204 
384 3 0.0 -2.383731 21.168568 39.368144 
385 1 0.0 -1.183180 20.000109 36.012543 
386 2 0.0 -0.446951 19.371668 35.518164 
387 1 0.0 -1.184841 20.219343 37.427116 
388 2 0.0 -0.425114 19.785279 38.080901 
389 1 0.0 -2.202713 20.991946 37.985442 
390 2 0.0 -2.003382 19.457952 41.205555 
391 2 0.0 -0.373528 22.973515 39.348762 
392 1 0.0 1.587086 20.417300 45.127326 
393 1 0.0 1.754509 19.315358 45.914579 
394 2 0.0 1.400214 21.349614 45.670625 
395 1 0.0 2.538808 18.215849 45.557890 
396 2 0.0 1.258075 17.107348 21.232156 
397 1 0.0 2.009989 28.239998 4.883560 
398 1 0.0 2.615116 29.302638 4.192026 
399 1 0.0 3.134522 29.119791 2.879349 
400 1 0.0 3.121958 27.838882 2.342486 
401 1 0.0 1.868951 26.991311 4.260761 
402 1 0.0 2.458419 26.795703 2.988819 
403 1 0.0 3.785427 27.351868 1.077579 
404 4 0.0 3.293400 25.911946 0.862359 
405 1 0.0 0.654546 23.058065 21.005406 
406 2 0.0 2.746456 30.244346 4.731864 
407 2 0.0 3.573512 29.937733 2.315653 
408 2 0.0 1.359569 26.189146 4.791898 
409 3 0.0 1.775886 24.615327 2.268010 
410 1 0.0 2.444949 25.606895 2.069729 
411 3 0.0 4.482452 27.988728 0.313186 
412 1 0.0 1.555497 28.436717 6.284470 
413 1 0.0 1.160077 29.703807 6.724234 
414 1 0.0 0.691846 29.926006 8.052100 
415 1 0.0 0.646291 28.840888 8.907676 
416 1 0.0 1.524369 27.349352 7.181942 
417 1 0.0 1.062271 27.594063 8.480771 
418 1 0.0 0.161439 28.739444 10.320945 
419 4 0.0 0.358343 27.410912 10.688847 
420 3 0.0 -0.343234 29.593786 11.045747 
421 2 0.0 1.183662 30.524761 6.000671 
422 2 0.0 0.347660 30.884467 8.410686 
423 2 0.0 1.846811 26.358024 6.900464 
424 3 0.0 1.128720 25.460753 9.622982 
425 1 0.0 0.887722 26.650970 9.611478 
426 1 0.0 0.741709 24.272836 21.686245 
427 2 0.0 1.412434 30.969625 41.156789 
428 2 0.0 0.073716 21.632072 17.729617 
429 1 0.0 -0.255881 25.443367 17.427601 
430 1 0.0 -0.792898 24.622421 16.416661 
431 1 0.0 -0.662780 23.254614 16.492967 
432 1 0.0 -0.021197 22.699121 17.624223 
433 1 0.0 0.506518 23.512193 18.646142 
434 1 0.0 0.395586 24.888092 18.551941 
435 1 0.0 2.864814 26.068049 44.143199 
436 2 0.0 0.012142 21.026485 21.047165 
437 3 0.0 1.195813 22.893982 19.706483 
438 2 0.0 -2.909394 26.410229 13.717078 
439 1 0.0 -1.876299 26.378394 13.417870 
440 1 0.0 -1.429246 26.953536 12.219793 
441 2 0.0 -1.094967 21.289126 23.378162 
442 1 0.0 -0.085194 26.873033 11.927207 
443 3 0.0 -1.589155 25.164197 15.397260 
444 1 0.0 0.812769 26.242525 12.784377 
445 2 0.0 1.846794 26.194213 12.476051 
446 1 0.0 0.367087 25.653513 13.994368 
447 2 0.0 1.053834 25.129721 14.663946 
448 1 0.0 -0.985272 25.731967 14.286738 
449 2 0.0 -1.089915 22.626238 15.695524 
450 2 0.0 -0.367012 26.512377 17.349210 
451 1 0.0 0.116926 24.409752 22.946855 
452 1 0.0 -0.538061 23.319287 23.500417 
453 2 0.0 0.110426 25.355485 23.490561 
454 1 0.0 -0.559356 22.091830 22.878216 
455 2 0.0 0.802743 25.535152 19.339457 
456 1 0.0 0.048310 21.958704 21.603101 
457 2 0.0 -2.098129 27.465697 11.521376 
458 1 0.0 -2.680272 26.210255 28.130679 
459 1 0.0 -3.669675 26.529816 27.173099 
460 1 0.0 -3.766043 25.866818 25.925505 
461 1 0.0 -2.827750 24.909289 25.693590 
462 1 0.0 -1.761271 25.199067 27.909758 
463 1 0.0 -1.850811 24.580719 26.654837 
464 1 0.0 -2.529004 24.279853 24.379761 
465 4 0.0 -1.357790 23.549062 24.638737 
466 1 0.0 2.495423 27.108997 43.262372 
467 2 0.0 -4.347553 27.332474 27.408302 
468 2 0.0 -4.482452 26.108017 25.126757 
469 2 0.0 -0.949875 25.001712 28.622163 
470 3 0.0 0.163606 23.277628 26.461566 
471 1 0.0 -0.874945 23.711173 25.994447 
472 3 0.0 -3.085573 24.416336 23.265515 
473 2 0.0 -3.937519 29.748502 35.099700 
474 1 0.0 -2.542852 27.042349 29.330186 
475 1 0.0 -2.557714 28.414069 29.112475 
476 1 0.0 -2.440990 29.280149 30.215127 
477 1 0.0 -2.330974 28.707050 31.496111 
478 1 0.0 -2.399412 26.467835 30.637334 
479 1 0.0 -2.312495 27.343080 31.714090 
480 1 0.0 -2.233539 29.387505 32.818511 
481 4 0.0 -2.186351 28.363694 33.800738 
482 3 0.0 -2.197730 30.585305 33.024431 
483 2 0.0 -2.639128 28.797472 28.065926 
484 2 0.0 -2.441803 30.348271 30.107455 
485 2 0.0 -2.407581 25.400663 30.805103 
486 3 0.0 -2.190954 26.044385 33.825745 
487 1 0.0 -2.221162 27.098922 33.202694 
488 1 0.0 1.973036 28.299105 43.773036 
489 3 0.0 1.798644 29.362915 42.926523 
490 2 0.0 -0.222855 27.458472 42.992901 
491 1 0.0 -0.328726 30.182124 40.107257 
492 1 0.0 -1.264319 29.163659 40.181611 
493 1 0.0 -1.215558 28.190124 41.186163 
494 1 0.0 -0.225013 28.206303 42.182915 
495 1 0.0 0.710218 29.223271 42.091708 
496 1 0.0 0.656342 30.206288 41.090611 
497 2 0.0 1.622654 27.554456 46.986398 
498 2 0.0 3.389825 25.240364 43.654691 
499 2 0.0 2.652300 27.062098 42.145598 
500 2 0.0 -3.931895 30.176157 37.670819 
501 1 0.0 -3.182696 29.570278 37.175487 
502 1 0.0 -3.178747 29.345619 35.773719 
503 1 0.0 -2.175739 28.570774 35.219204 
504 3 0.0 -2.383731 29.168568 39.368144 
505 1 0.0 -1.183180 28.000109 36.012543 
506 2 0.0 -0.446951 27.371668 35.518164 
507 1 0.0 -1.184841 28.219343 37.427116 
508 2 0.0 -0.425114 27.785279 38.080901 
509 1 0.0 -2.202713 28.991946 37.985442 
510 2 0.0 -2.003382 27.457952 41.205555 
511 2 0.0 -0.373528 30.973515 39.348762 
512 1 0.0 1.587086 28.417300 45.127326 
513 1 0.0 1.754509 27.315358 45.914579 
514 2 0.0 1.400214 29.349614 45.670625 
515 1 0.0 2.538808 26.215849 45.557890 
516 2 0.0 1.258075 25.107348 21.232156 
517 1 0.0 2.009989 36.239998 4.883560 
518 1 0.0 2.615116 37.302638 4.192026 
519 1 0.0 3.134522 37.119791 2.879349 
520 1 0.0 3.121958 35.838882 2.342486 
521 1 0.0 1.868951 34.991311 4.260761 
522 1 0.0 2.458419 34.795703 2.988819 
523 1 0.0 3.785427 35.351868 1.077579 
524 4 0.0 3.293400 33.911946 0.862359 
525 1 0.0 0.654546 31.058065 21.005406 
526 2 0.0 2.746456 38.244346 4.731864 
527 2 0.0 3.573512 37.937733 2.315653 
528 2 0.0 1.359569 34.189146 4.791898 
529 3 0.0 1.775886 32.615327 2.268010 
530 1 0.0 2.444949 33.606895 2.069729 
531 3 0.0 4.482452 35.988728 0.313186 
532 1 0.0 1.555497 36.436717 6.284470 
533 1 0.0 1.160077 37.703807 6.724234 
534 1 0.0 0.691846 37.926006 8.052100 
535 1 0.0 0.646291 36.840888 8.907676 
536 1 0.0 1.524369 35.349352 7.181942 
537 1 0.0 1.062271 35.594063 8.480771 
538 1 0.0 0.161439 36.739444 10.320945 
539 4 0.0 0.358343 35.410912 10.688847 
540 3 0.0 -0.343234 37.593786 11.045747 
541 2 0.0 1.183662 38.524761 6.000671 
542 2 0.0 0.347660 38.884467 8.410686 
543 2 0.0 1.846811 34.358024 6.900464 
544 3 0.0 1.128720 33.460753 9.622982 
545 1 0.0 0.887722 34.650970 9.611478 
546 1 0.0 0.741709 32.272836 21.686245 
547 2 0.0 1.412434 38.969625 41.156789 
548 2 0.0 0.073716 29.632072 17.729617 
549 1 0.0 -0.255881 33.443367 17.427601 
550 1 0.0 -0.792898 32.622421 16.416661 
551 1 0.0 -0.662780 31.254614 16.492967 
552 1 0.0 -0.021197 30.699121 17.624223 
553 1 0.0 0.506518 31.512193 18.646142 
554 1 0.0 0.395586 32.888092 18.551941 
555 1 0.0 2.864814 34.068049 44.143199 
556 2 0.0 0.012142 29.026485 21.047165 
557 3 0.0 1.195813 30.893982 19.706483 
