 LAMMPS data file, charge style generated xyz_lammps.py by Wenchang Lu 

276 atoms
4 atom types

0.000000   15.369497   xlo xhi 
0.000000   15.369497   ylo yhi 
0.000000   45.146142   zlo zhi 
0.000000   0.000000   0.000000  xy xz yz 

Masses

2  1.007940
1  12.010700
3  15.999000
4  14.000000

Atoms # charge

127 1 0.0 3.349867 6.149755 41.845997 
128 2 0.0 1.021113 8.707349 42.280693 
129 1 0.0 1.735785 4.581699 42.352381 
130 1 0.0 3.057995 4.876849 42.554950 
131 2 0.0 0.096929 3.230640 42.748804 
132 1 0.0 1.149122 3.451629 42.908604 
133 1 0.0 3.877872 4.063638 43.329097 
134 2 0.0 4.923081 4.313132 43.492983 
135 1 0.0 1.955653 2.613277 43.689498 
136 1 0.0 3.310019 2.917655 43.898920 
137 3 0.0 1.413396 1.497438 44.253037 
138 2 0.0 3.927360 2.264561 44.511623 
139 2 0.0 7.934714 10.885871 0.000000 
140 1 0.0 8.802920 10.539800 0.554577 
141 1 0.0 9.098144 9.182186 0.606896 
142 2 0.0 13.095270 11.685799 0.855131 
143 2 0.0 9.365398 12.511626 1.114361 
144 2 0.0 11.416597 13.676489 1.131902 
145 1 0.0 9.629140 11.462708 1.195403 
146 1 0.0 10.208907 8.745440 1.321975 
147 2 0.0 10.442101 7.684748 1.365648 
148 1 0.0 10.769937 11.042944 1.904727 
149 1 0.0 13.162384 11.757134 1.944151 
150 1 0.0 11.030565 9.667200 1.970914 
151 2 0.0 13.872132 12.556915 2.168369 
152 1 0.0 11.431261 13.513452 2.212727 
153 2 0.0 13.583143 10.822126 2.318697 
154 2 0.0 11.893891 9.299710 2.518964 
155 1 0.0 11.759830 12.036319 2.556082 
156 2 0.0 10.460811 13.804374 2.623018 
157 2 0.0 12.177489 14.188338 2.640007 
158 1 0.0 11.756120 11.938459 4.097867 
159 2 0.0 9.672639 11.364165 4.247811 
160 2 0.0 13.803716 12.611415 4.363529 
161 1 0.0 10.576646 11.628333 4.790136 
162 1 0.0 12.877454 12.322960 4.849907 
163 1 0.0 10.510699 11.733474 6.180686 
164 1 0.0 12.810826 12.432875 6.237963 
165 2 0.0 9.566407 11.559529 6.690322 
166 2 0.0 13.668793 12.806767 6.791240 
167 1 0.0 11.625372 12.145375 6.907318 
168 3 0.0 11.484490 12.510659 8.229992 
169 2 0.0 13.659157 11.176523 9.031510 
170 1 0.0 11.581622 11.691442 9.334833 
171 1 0.0 12.803028 11.098334 9.697523 
172 2 0.0 9.557436 12.147336 9.961868 
173 1 0.0 10.488733 11.640620 10.203460 
174 1 0.0 12.949219 10.473536 10.946381 
175 2 0.0 13.905370 10.057740 11.254312 
176 1 0.0 10.655352 11.003215 11.425831 
177 1 0.0 11.851932 10.459378 11.806279 
178 1 0.0 9.720580 10.889367 12.562042 
179 3 0.0 8.580652 11.311062 12.598720 
180 1 0.0 11.713815 10.023831 13.226683 
181 4 0.0 10.447382 10.372663 13.595857 
182 3 0.0 12.592126 9.602660 13.952659 
183 2 0.0 9.454638 12.569303 14.626794 
184 1 0.0 10.000967 10.500293 14.965968 
185 1 0.0 9.493135 11.749693 15.337346 
186 2 0.0 10.540296 8.520230 15.678854 
187 1 0.0 10.091930 9.478902 15.934948 
188 1 0.0 9.029111 11.980701 16.618566 
189 2 0.0 8.627106 12.951553 16.892654 
190 1 0.0 9.636052 9.716113 17.248335 
191 1 0.0 9.110144 10.978205 17.562526 
